,Name,Team,L/R,POS,IP,GS,GP,HA,R,ER,HR,BB,K,W,L,S,HD,BS,ERA,WHIP,SB,CS,SBP,W-Z,K-Z,S-Z,ERA-Z,WHIP-Z,Z-SUM,Z-SUM-A,ACV,
28,Gavin Williams,CLE,LEFT,SP,167.66666666666669,31,31,177,62,57,23,83,173,12,5,0,0,0,3.060,1.551,7,6,0.042,0.978,0.908,-0.506,0.943,-0.175,2.147,7.516,17.878994057413433,
29,Merrill Kelly,ARI| TEX,RIGHT,SP,184.0,32,32,218,79,72,23,48,167,12,9,0,0,0,3.522,1.446,14,2,0.076,0.978,0.776,-0.506,0.372,0.488,2.108,7.477,17.786221203736062,
30,Chris Sale,ATL,LEFT,SP,125.66666666666667,20,21,132,38,36,11,32,165,7,5,0,0,0,2.578,1.305,23,8,0.183,-0.334,0.732,-0.506,1.179,0.956,2.026,7.395,17.591160331901584,
31,Adrian Morejon,SDN,LEFT,RP,73.66666666666664,0,75,57,23,17,2,17,70,13,6,3,0,0,2.077,1.004,9,1,0.122,1.24,-1.355,-0.233,0.979,1.34,1.971,7.34,17.460326820305294,
32,Andrew Abbott,CIN,LEFT,SP,166.33333333333331,29,29,197,60,53,19,43,149,10,7,0,0,0,2.868,1.443,12,1,0.072,0.453,0.381,-0.506,1.184,0.458,1.969,7.338,17.45556923806543,
33,Ranger Suarez,PHI,LEFT,SP,157.33333333333334,26,26,195,57,56,14,38,151,12,8,0,0,0,3.203,1.481,6,4,0.038,0.978,0.425,-0.506,0.709,0.222,1.826,7.195,17.115402107915067,
34,David Bednar,NYA| PIT,LEFT,RP,62.666666666666664,0,64,60,18,16,4,19,86,6,5,27,0,0,2.298,1.261,7,2,0.112,-0.597,-1.003,1.955,0.725,0.575,1.655,7.024,16.708628826406592,
35,Carlos Estevez,KCA,RIGHT,RP,66.0,0,67,65,22,18,5,22,54,4,5,42,0,0,2.454,1.318,0,1,0.0,-1.121,-1.706,3.322,0.683,0.471,1.649,7.018,16.694356079686994,
36,Nick Lodolo,CIN,LEFT,SP,156.66666666666666,28,29,184,60,58,22,31,156,9,8,0,0,0,3.332,1.372,14,6,0.089,0.19,0.535,-0.506,0.549,0.82,1.587,6.9559999999999995,16.54687103025117,
37,Josh Hader,HOU,LEFT,RP,52.66666666666667,0,48,47,16,12,8,16,76,6,2,28,0,0,2.051,1.196,4,0,0.076,-0.597,-1.223,2.046,0.711,0.602,1.54,6.909,16.43506784761434,
38,Sonny Gray,SLN,RIGHT,SP,180.66666666666666,32,32,245,93,86,25,38,201,14,8,0,0,0,4.284,1.566,11,10,0.061,1.502,1.523,-0.506,-0.709,-0.289,1.521,6.89,16.389870816335623,
39,Robbie Ray,SFN,LEFT,SP,182.33333333333331,32,32,211,81,74,22,73,186,11,8,0,0,0,3.653,1.558,20,10,0.11,0.715,1.194,-0.506,0.182,-0.235,1.35,6.718999999999999,15.983097534827147,
40,Cade Horton,CHN,RIGHT,SP,118.0,22,23,123,40,35,10,33,97,11,4,0,0,0,2.670,1.322,8,7,0.068,0.715,-0.762,-0.506,1.023,0.827,1.297,6.6659999999999995,15.857021605470718,
