TRank,H-Unnamed: 0,H-Name,H-Team,H-GP,H-BO,H-L/R,H-PA,H-AB,H-H,H-R,H-HR,H-RBI,H-BB,H-SB,H-CS,H-AVG,H-POS,H-R-Z,H-HR-Z,H-RBI-Z,H-SB-Z,H-AVG-Z,H-SUM-Z,H-SUM-Z-A,H-Adj-Val,H-ACV,H-Unnamed: 26,P-Unnamed: 0,P-Name,P-Team,P-L/R,P-POS,P-IP,P-GS,P-GP,P-HA,P-R,P-ER,P-HR,P-BB,P-K,P-W,P-L,P-S,P-HD,P-BS,P-ERA,P-WHIP,P-SB,P-CS,P-SBP,P-W-Z,P-K-Z,P-S-Z,P-ERA-Z,P-WHIP-Z,P-Z-SUM,P-Z-SUM-A,P-ACV,P-Unnamed: 32,ACV
16,15,Yordan Alvarez,HOU,147,3,LEFT,635,552,170,88,35,86,69,6,0,0.308,LF| DH,0.871,1.661,0.831,-0.488,2.144,5.019,9.407,4.388,25.0217653800198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0217653800198
17,13,Ketel Marte,ARI,135,2,SWITCH,583,504,147,93,36,95,65,7,1,0.292,2B| DH,1.146,1.772,1.283,-0.403,1.326,5.124,9.349,4.225,24.86749064928299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.86749064928299
18,10,Marcell Ozuna,ATL,162,3,RIGHT,688,606,183,96,39,104,74,1,0,0.302,DH,1.312,2.108,1.734,-0.915,2.075,6.313,8.8855,2.5725,23.634622757963847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.634622757963847
19,11,Brent Rooker,ATH| MIN| KCA| SDN| OAK,145,3,RIGHT,614,546,160,82,39,112,59,11,3,0.293,DH,0.54,2.108,2.136,-0.061,1.494,6.216,8.7885,2.5725,23.37661157035229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.37661157035229
20,29,Trea Turner,PHI| WAS| LAN,121,2,RIGHT,539,505,149,88,21,62,27,19,4,0.295,SS,0.871,0.096,-0.373,0.622,1.46,2.675,8.754999999999999,6.08,23.28750461380603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.28750461380603
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Logan Gilbert,SEA,RIGHT,SP,208.66666666666663,33,33,148,83,75,26,37,220,9,12,0,0,0,3.235,0.887,14,4,0.067,0.05,1.819,-0.501,0.965,3.102,5.435,12.225,22.993479496573087,,22.993479496573087
22,17,Teoscar Hernandez,LAN| TOR| SEA,154,4,RIGHT,652,589,160,84,33,99,53,12,3,0.272,LF| RF,0.65,1.437,1.483,0.024,0.642,4.237,8.625,4.388,22.94171642422353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.94171642422353
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Emmanuel Clase,CLE,RIGHT,RP,74.33333333333334,0,74,39,10,5,2,10,66,4,2,47,0,0,0.605,0.659,1,0,0.013,-1.251,-1.503,3.617,2.162,1.92,4.945,11.735,22.07185945949163,,22.07185945949163
24,18,Corbin Carroll,ARI,155,1,LEFT,684,589,136,120,22,74,73,35,8,0.231,RF| CF,2.634,0.208,0.229,1.987,-1.204,3.854,8.242,4.388,21.92297121953048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.92297121953048
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Seth Lugo,KCA| NYN| SDN,RIGHT,SP,206.66666666666669,33,33,177,75,69,16,48,181,16,9,0,0,0,3.005,1.089,5,5,0.024,1.872,0.977,-0.501,1.398,1.059,4.805,11.595,21.808539448896926,,21.808539448896926
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Shota Imanaga,CHN,LEFT,SP,173.33333333333334,29,29,149,66,56,27,28,174,15,3,0,0,0,2.908,1.021,3,2,0.017,1.612,0.826,-0.501,1.329,1.453,4.719,11.509,21.64678572810304,,21.64678572810304
27,43,Salvador Perez,KCA,158,4,RIGHT,652,590,160,58,27,104,44,0,0,0.271,CC| DH| 1B,-0.782,0.766,1.734,-1.0,0.622,1.341,8.123,6.782,21.606442030604956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.606442030604956
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Paul Skenes,PIT,RIGHT,SP,133.0,23,23,94,31,29,10,32,170,11,3,0,0,0,1.962,0.947,6,1,0.045,0.571,0.74,-0.501,2.189,1.588,4.587,11.377,21.398512575256603,,21.398512575256603
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Corbin Burnes,ARI| MIL| BAL,RIGHT,SP,194.3333333333333,32,32,165,76,63,22,48,181,15,9,0,0,0,2.918,1.096,41,6,0.211,1.612,0.977,-0.501,1.472,0.927,4.487,11.277,21.21042685340325,,21.21042685340325
30,47,Yainer Diaz,HOU,148,4,RIGHT,619,585,175,70,16,84,24,2,0,0.299,DH| CC,-0.121,-0.463,0.731,-0.829,1.875,1.192,7.974,6.782,21.2101155671604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2101155671604
31,22,Jackson Merrill,SDN,154,6,LEFT,593,554,162,77,24,90,29,16,3,0.292,CF,0.265,0.431,1.032,0.366,1.489,3.582,7.97,4.388,21.19947593055786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.19947593055786
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Dylan Cease,SDN| CHA,RIGHT,SP,189.33333333333331,33,33,137,80,73,18,65,224,14,11,0,0,0,3.47,1.067,6,3,0.032,1.351,1.905,-0.501,0.461,1.169,4.386,11.176,21.02046027433136,,21.02046027433136
33,23,Anthony Santander,TOR| BAL,155,4,SWITCH,665,595,140,91,44,102,58,2,0,0.235,RF| DH,1.036,2.667,1.634,-0.829,-1.015,3.492,7.88,4.388,20.960084107000743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.960084107000743
34,19,Manny Machado,SDN,152,4,RIGHT,643,593,163,77,29,105,45,11,2,0.275,3B| DH,0.265,0.99,1.784,-0.061,0.794,3.772,7.878,4.106,20.95476428869948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.95476428869948
35,21,Jose Altuve,HOU,153,1,RIGHT,682,628,185,94,20,65,47,22,7,0.295,2B,1.201,-0.016,-0.222,0.878,1.793,3.633,7.858,4.225,20.901566105686783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.901566105686783
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Bryce Miller,SEA,RIGHT,SP,180.3333333333333,31,31,131,62,59,21,45,171,12,8,0,0,0,2.945,0.976,10,7,0.055,0.831,0.762,-0.501,1.321,1.904,4.317,11.107,20.890681126252534,,20.890681126252534
37,38,Mookie Betts,LAN,116,1,RIGHT,516,450,130,75,19,75,61,16,2,0.289,RF| SS,0.154,-0.128,0.279,0.366,1.087,1.759,7.839,6.08,20.851027831824727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.851027831824727
38,39,Ezequiel Tovar,COL,157,2,RIGHT,695,655,176,83,26,78,23,6,5,0.269,SS,0.595,0.655,0.43,-0.488,0.566,1.758,7.838,6.08,20.84836792267409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.84836792267409
39,48,Cal Raleigh,SEA,153,3,SWITCH,628,546,120,73,34,100,70,6,1,0.22,CC,0.044,1.549,1.534,-0.488,-1.583,1.056,7.838,6.782,20.84836792267409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.84836792267409
40,42,Zach Neto,ANA,155,2,RIGHT,602,542,135,69,23,77,39,30,10,0.249,SS,-0.176,0.319,0.38,1.561,-0.35,1.734,7.814,6.08,20.78453010305886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.78453010305886
41,25,Jurickson Profar,ATL| SDN| COL,158,2,SWITCH,668,564,158,94,24,85,76,10,3,0.28,LF,1.201,0.431,0.781,-0.146,0.983,3.25,7.638,4.388,20.31638609254717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.31638609254717
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Framber Valdez,HOU,LEFT,SP,176.33333333333334,28,28,140,60,57,13,55,169,15,7,0,0,0,2.909,1.106,9,1,0.051,1.612,0.718,-0.501,1.35,0.758,3.936,10.726,20.17407452599124,,20.17407452599124
43,26,Jazz Chisholm,NYA| MIA,147,1,LEFT,621,562,144,74,24,73,53,40,10,0.256,CF| 3B,0.099,0.431,0.179,2.414,-0.054,3.07,7.458,4.388,19.83760244543294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.83760244543294
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Jack Flaherty,DET| SLN| BAL| LAN,RIGHT,SP,162.00000000000003,28,28,135,61,57,24,38,194,13,7,0,0,0,3.167,1.068,11,4,0.068,1.091,1.258,-0.501,0.852,0.993,3.692,10.482,19.715145364669045,,19.715145364669045
45,16,Kyle Schwarber,PHI| CHN| BOS| WAS,150,1,LEFT,692,573,142,110,38,104,106,5,3,0.248,DH,2.083,1.996,1.734,-0.573,-0.425,4.815,7.387500000000001,2.5725,19.6500788503132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6500788503132
46,44,Oneil Cruz,PIT,145,3,LEFT,599,541,140,71,21,76,51,22,1,0.259,SS| CF,-0.066,0.096,0.329,0.878,0.054,1.292,7.372,6.08,19.60885025847836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.60885025847836
47,46,CJ Abrams,WAS| SDN,137,1,LEFT,602,541,133,78,20,65,40,31,12,0.246,SS,0.32,-0.016,-0.222,1.646,-0.484,1.243,7.323,6.08,19.478514710097265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.478514710097265
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,Ronel Blanco,HOU,RIGHT,SP,167.33333333333331,29,30,114,56,52,22,68,166,13,6,0,0,0,2.797,1.088,7,3,0.042,1.091,0.654,-0.501,1.456,0.866,3.566,10.356,19.478157355133817,,19.478157355133817
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Ryan Helsley,NYN| SLN,RIGHT,RP,66.33333333333333,0,65,50,19,15,3,23,79,7,4,49,0,0,2.035,1.101,4,1,0.06,-0.47,-1.223,3.792,1.047,0.302,3.448,10.238,19.25621620334685,,19.25621620334685
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Cole Ragans,KCA| TEX,LEFT,SP,186.33333333333331,32,32,146,71,65,15,67,223,11,9,0,0,0,3.139,1.143,8,3,0.043,0.571,1.883,-0.501,1.027,0.466,3.446,10.236,19.252454488909788,,19.252454488909788
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Kirby Yates,LAN| SDN| ATL| TEX,RIGHT,RP,61.66666666666666,0,61,23,10,8,3,28,85,7,2,33,0,0,1.168,0.827,7,0,0.114,-0.47,-1.093,2.39,1.471,1.094,3.392,10.182,19.150888199108973,,19.150888199108973
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,George Kirby,SEA,RIGHT,SP,191.0,33,33,181,82,75,22,23,179,14,11,0,0,0,3.534,1.068,24,6,0.126,1.351,0.934,-0.501,0.352,1.169,3.305,10.095,18.98725362109655,,18.98725362109655
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Mike King,SDN| NYA,RIGHT,SP,173.66666666666666,30,31,144,71,57,17,63,201,13,9,0,0,0,2.954,1.192,8,3,0.046,1.091,1.409,-0.501,1.257,0.026,3.282,10.072,18.943993905070275,,18.943993905070275
54,30,Brenton Doyle,COL,147,3,RIGHT,603,542,141,82,23,72,46,30,4,0.26,CF,0.54,0.319,0.129,1.561,0.112,2.66,7.048,4.388,18.747039693672747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.747039693672747
55,52,Corey Seager,TEX| LAN,123,2,LEFT,533,475,132,68,30,74,53,1,1,0.278,SS,-0.231,1.102,0.229,-0.915,0.746,0.931,7.011,6.08,18.648623055099268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.648623055099268
56,54,Jeremy Pena,HOU,157,5,RIGHT,650,602,160,78,15,70,25,20,6,0.266,SS,0.32,-0.575,0.028,0.707,0.385,0.865,6.945,6.08,18.47306905115738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.47306905115738
57,31,Jackson Chourio,MIL,144,1,RIGHT,573,528,145,79,21,79,39,22,7,0.275,LF| RF,0.375,0.096,0.48,0.878,0.696,2.525,6.913,4.388,18.38795195833708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.38795195833708
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Raisel Iglesias,ATL| CIN| ANA,RIGHT,RP,69.33333333333331,0,66,38,19,15,4,13,68,6,2,34,0,0,1.947,0.736,2,0,0.029,-0.731,-1.46,2.478,1.151,1.536,2.974,9.764,18.364689881761933,,18.364689881761933
59,24,Bryce Harper,PHI,145,3,LEFT,631,550,157,85,30,87,76,7,4,0.285,1B,0.705,1.102,0.881,-0.403,1.184,3.47,6.9,3.43,18.353373139378824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.353373139378824
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Hunter Greene,CIN,RIGHT,SP,150.33333333333334,26,26,96,47,46,12,57,169,9,5,0,0,0,2.754,1.018,14,3,0.093,0.05,0.718,-0.501,1.368,1.285,2.92,9.71,18.26312359196112,,18.26312359196112
61,27,Eugenio Suarez,ARI| SEA| CIN,157,7,RIGHT,640,571,146,90,30,101,49,2,1,0.256,3B,0.981,1.102,1.584,-0.829,-0.078,2.759,6.865,4.106,18.26027631910661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.26027631910661
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Sean Manaea,NYN| OAK| SDN| SFN,LEFT,SP,181.66666666666663,32,32,134,75,70,21,63,184,12,6,0,0,0,3.468,1.084,23,3,0.127,0.831,1.042,-0.501,0.446,0.969,2.787,9.577,18.01296958189615,,18.01296958189615
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Bailey Ober,MIN,RIGHT,SP,178.66666666666666,31,31,136,81,79,27,43,191,12,9,0,0,0,3.979,1.002,3,2,0.017,0.831,1.193,-0.501,-0.411,1.663,2.775,9.565,17.990399295273747,,17.990399295273747
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,Sonny Gray,SLN| CIN| MIN,RIGHT,SP,166.33333333333331,28,28,142,79,71,21,39,203,13,9,0,0,0,3.842,1.088,25,5,0.15,1.091,1.452,-0.501,-0.17,0.857,2.729,9.519,17.903879863221203,,17.903879863221203
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Ryan Walker,SFN,RIGHT,RP,80.00000000000001,1,76,50,19,17,5,18,99,10,4,10,0,0,1.913,0.85,8,2,0.1,0.31,-0.791,0.375,1.354,1.33,2.579,9.369,17.621751280441167,,17.621751280441167
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Tanner Bibee,CLE,RIGHT,SP,173.66666666666666,31,31,150,70,67,22,44,187,12,8,0,0,0,3.472,1.117,6,6,0.035,0.831,1.107,-0.501,0.42,0.652,2.509,9.299,17.490091275143815,,17.490091275143815
67,33,Matt Chapman,SFN| OAK| TOR,154,4,RIGHT,647,575,142,98,27,78,64,15,2,0.247,3B,1.422,0.766,0.43,0.28,-0.465,2.433,6.539,4.106,17.39314593599973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.39314593599973
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Aaron Nola,PHI,RIGHT,SP,199.33333333333331,33,33,189,84,79,30,50,197,14,8,0,0,0,3.567,1.199,12,6,0.06,1.351,1.322,-0.501,0.306,-0.038,2.441,9.231,17.36219298428353,,17.36219298428353
69,35,Bryan Reynolds,PIT,156,2,SWITCH,692,622,171,73,24,88,57,10,2,0.275,LF| DH| RF,0.044,0.431,0.931,-0.146,0.835,2.095,6.4830000000000005,4.388,17.24419102356419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24419102356419
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Josh Hader,HOU| MIL| SDN,LEFT,RP,71.0,0,71,43,33,30,12,25,105,8,8,34,0,0,3.803,0.958,5,1,0.07,-0.21,-0.662,2.478,-0.047,0.812,2.371,9.161,17.23053297898618,,17.23053297898618
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Jose Berrios,TOR| MIN,RIGHT,SP,192.33333333333331,32,32,168,79,77,31,54,153,16,11,0,0,0,3.603,1.154,12,5,0.062,1.872,0.373,-0.501,0.231,0.378,2.353,9.143,17.196677549052577,,17.196677549052577
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Reynaldo Lopez,ATL| CHA| ANA| CLE,RIGHT,SP,135.66666666666669,25,26,108,32,30,10,42,148,8,5,0,0,0,1.99,1.106,20,1,0.147,-0.21,0.266,-0.501,2.198,0.584,2.337,9.127,17.16658383355604,,17.16658383355604
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Luis Gil,NYA,RIGHT,SP,151.66666666666669,29,29,104,60,59,18,77,171,15,7,0,0,0,3.501,1.193,6,2,0.04,1.612,0.762,-0.501,0.326,0.012,2.21,9.0,16.927714966802274,,16.927714966802274
74,34,Rafael Devers,BOS| SFN,138,4,LEFT,601,525,143,87,28,83,67,3,0,0.272,3B,0.816,0.878,0.681,-0.744,0.602,2.233,6.339,4.106,16.861164105872806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.861164105872806
75,66,Anthony Volpe,NYA,159,1,RIGHT,689,637,155,89,12,60,42,28,7,0.243,SS,0.926,-0.91,-0.473,1.39,-0.693,0.239,6.319,6.08,16.807965922860113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.807965922860113
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Tyler Glasnow,LAN| TBA,RIGHT,SP,134.0,22,22,92,53,52,15,35,168,9,6,0,0,0,3.493,0.948,14,4,0.104,0.05,0.697,-0.501,0.299,1.597,2.142,8.932,16.79981667594199,,16.79981667594199
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Robert Suarez,SDN,RIGHT,RP,65.0,0,65,52,21,20,7,16,59,9,3,36,0,0,2.769,1.046,0,1,0.0,0.05,-1.654,2.653,0.582,0.466,2.098,8.888,16.71705895832651,,16.71705895832651
78,37,Julio Rodriguez,SEA,141,2,RIGHT,613,567,155,76,20,68,38,24,5,0.273,CF,0.21,-0.016,-0.072,1.049,0.693,1.863,6.251,4.388,16.62709210061696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.62709210061696
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,Carlos Rodon,NYA| CHA| SFN,LEFT,SP,175.0,32,32,157,81,77,31,57,195,16,9,0,0,0,3.96,1.223,21,4,0.12,1.872,1.279,-0.501,-0.371,-0.235,2.044,8.834,16.615492668525697,,16.615492668525697
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,Tanner Scott,LAN| BAL| MIA| SDN,LEFT,RP,72.00000000000003,0,72,45,20,14,3,36,84,9,6,22,0,0,1.75,1.125,5,3,0.069,0.05,-1.115,1.427,1.328,0.243,1.932,8.722,16.404836660049934,,16.404836660049934
81,40,Ian Happ,CHN,153,1,SWITCH,657,569,138,89,25,86,80,13,2,0.243,LF,0.926,0.543,0.831,0.11,-0.654,1.756,6.144,4.388,16.342481821499057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.342481821499057
82,41,Seiya Suzuki,CHN,132,3,RIGHT,585,512,145,74,21,73,63,16,6,0.283,RF| DH,0.099,0.096,0.179,0.366,1.013,1.753,6.141,4.388,16.334502094047153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.334502094047153
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Pablo Lopez,MIN| MIA,RIGHT,SP,185.3333333333333,32,32,180,90,84,26,41,198,15,10,0,0,0,4.079,1.192,11,1,0.059,1.612,1.344,-0.501,-0.599,0.023,1.879,8.669,16.305151227467658,,16.305151227467658
84,28,Josh Naylor,ARI| SEA| CLE| SDN,152,4,LEFT,633,563,137,84,31,108,58,6,2,0.243,1B,0.65,1.214,1.935,-0.488,-0.612,2.699,6.129,3.43,16.302583184239538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.302583184239538
85,90,Will Smith,LAN,128,4,RIGHT,544,476,118,77,20,75,51,1,1,0.248,CC,0.265,-0.016,0.279,-0.915,-0.35,-0.737,6.045,6.782,16.07915081558623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07915081558623
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Max Fried,NYA| ATL,LEFT,SP,174.3333333333333,29,29,146,71,63,13,57,166,11,10,0,0,0,3.252,1.164,13,2,0.075,0.571,0.654,-0.501,0.778,0.257,1.758,8.548,16.077567504025094,,16.077567504025094
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Tyler Holton,DET| ARI,LEFT,SP| RP,94.33333333333331,9,66,57,25,23,7,17,77,7,2,8,0,0,2.194,0.784,3,0,0.032,-0.47,-1.266,0.2,1.349,1.867,1.68,8.47,15.930860640979471,,15.930860640979471
88,70,Masyn Winn,SLN,148,1,RIGHT,637,587,157,85,15,57,41,11,5,0.267,SS,0.705,-0.575,-0.624,-0.061,0.451,-0.103,5.977,6.08,15.898276993343078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.898276993343078
89,72,Dansby Swanson,CHN| ATL,148,7,RIGHT,593,534,129,82,16,66,54,19,3,0.242,SS,0.54,-0.463,-0.172,0.622,-0.653,-0.126,5.954,6.08,15.83709908287848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.83709908287848
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Nathan Eovaldi,TEX| BOS,RIGHT,SP,170.66666666666666,29,29,147,74,72,23,42,166,12,8,0,0,0,3.797,1.107,13,0,0.076,0.831,0.654,-0.501,-0.103,0.721,1.601,8.391,15.78227292071532,,15.78227292071532
91,32,Freddie Freeman,LAN| ATL,147,3,LEFT,638,542,153,81,22,89,78,9,2,0.282,1B,0.485,0.208,0.982,-0.232,1.035,2.477,5.907,3.43,15.712083352798654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.712083352798654
