TRank,H-Unnamed: 0,H-Name,H-Team,H-GP,H-BO,H-L/R,H-PA,H-AB,H-H,H-R,H-HR,H-RBI,H-BB,H-SB,H-CS,H-AVG,H-POS,H-R-Z,H-HR-Z,H-RBI-Z,H-SB-Z,H-AVG-Z,H-SUM-Z,H-SUM-Z-A,H-Adj-Val,H-ACV,H-Unnamed: 26,P-Unnamed: 0,P-Name,P-Team,P-L/R,P-POS,P-IP,P-GS,P-GP,P-HA,P-R,P-ER,P-HR,P-BB,P-K,P-W,P-L,P-S,P-HD,P-BS,P-ERA,P-WHIP,P-SB,P-CS,P-SBP,P-W-Z,P-K-Z,P-S-Z,P-ERA-Z,P-WHIP-Z,P-Z-SUM,P-Z-SUM-A,P-ACV,P-Unnamed: 32,ACV
1,1,Shohei Ohtani,LAN| ANA,159,1,LEFT,731,636,197,134,54,130,81,59,4,0.31,DH,3.405,3.784,3.039,4.036,2.557,16.822,19.3945,2.5725,51.58760802198299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.58760802198299
2,2,Aaron Judge,NYA,158,3,RIGHT,704,559,180,122,58,144,133,10,0,0.322,CF| DH,2.744,4.232,3.741,-0.146,2.775,13.345,17.733,4.388,47.16816896820358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.16816896820358
3,3,Bobby Witt,KCA,161,2,RIGHT,709,636,211,125,32,109,57,31,12,0.332,SS,2.909,1.325,1.985,1.646,3.634,11.5,17.58,6.08,46.76120286815648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.76120286815648
4,4,Jose Ramirez,CLE,158,3,SWITCH,682,620,173,114,39,118,54,41,7,0.279,3B| DH,2.303,2.108,2.437,2.5,1.028,10.375,14.481,4.106,38.51814441033982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.51814441033982
5,6,Gunnar Henderson,BAL,159,1,LEFT,719,630,177,118,37,92,78,21,4,0.281,SS,2.524,1.884,1.132,0.792,1.138,7.47,13.55,6.08,36.041768991099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.041768991099
6,7,Elly De La Cruz,CIN,160,2,SWITCH,696,618,160,105,25,76,69,67,16,0.259,SS,1.807,0.543,0.329,4.719,0.068,7.467,13.547,6.08,36.03378926364709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.03378926364709
7,8,Francisco Lindor,NYN| CLE,152,1,SWITCH,689,618,169,107,33,91,56,29,4,0.273,SS,1.918,1.437,1.082,1.475,0.76,6.672,12.752,6.08,33.91916148889257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.91916148889257
8,5,Juan Soto,NYN| WAS| SDN| NYA,157,2,LEFT,713,576,166,128,41,109,129,7,4,0.288,RF,3.075,2.331,1.985,-0.403,1.361,8.35,12.738,4.388,33.88192276078369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.88192276078369
9,14,Willy Adames,SFN| TBA| MIL,161,4,RIGHT,688,610,153,93,32,112,74,21,4,0.251,SS,1.146,1.325,2.136,0.792,-0.312,5.088,11.168,6.08,29.705865394287347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.705865394287347
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tarik Skubal,DET,LEFT,SP,192.0,31,31,142,54,51,15,35,228,18,4,0,0,0,2.391,0.922,3,3,0.016,2.393,1.991,-0.501,2.396,2.528,8.806,15.596,29.333849180249807,,29.333849180249807
11,20,William Contreras,MIL| ATL,155,2,RIGHT,679,595,167,99,23,92,78,9,2,0.281,CC| DH,1.477,0.319,1.132,-0.232,1.062,3.758,10.54,6.782,28.03544244768881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.03544244768881
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Zack Wheeler,PHI,RIGHT,SP,200.0,32,32,139,62,57,20,52,224,16,7,0,0,0,2.565,0.955,8,3,0.04,1.872,1.905,-0.501,2.171,2.314,7.761,14.551,27.36835338688221,,27.36835338688221
13,12,Jarren Duran,BOS,160,1,LEFT,735,671,191,111,21,75,54,34,7,0.285,LF| CF,2.138,0.096,0.279,1.902,1.403,5.818,10.206,4.388,27.14703279137685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.14703279137685
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Chris Sale,ATL| BOS,LEFT,SP,177.66666666666666,29,29,141,48,47,9,39,225,18,3,0,0,0,2.381,1.013,12,4,0.068,2.393,1.926,-0.501,2.233,1.558,7.609,14.399,27.082463089665104,,27.082463089665104
15,9,Vladimir Guerrero,TOR,159,3,RIGHT,697,616,199,98,30,103,72,2,2,0.323,DH| 1B,1.422,1.102,1.684,-0.829,3.107,6.485,9.915,3.43,26.37299922854218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37299922854218
