,Name,Team,GP,BO,L/R,PA,AB,H,R,HR,RBI,BB,SB,CS,AVG,POS,R-Z,HR-Z,RBI-Z,SB-Z,AVG-Z,SUM-Z,SUM-Z-A,Adj-Val,ACV,
1,Shohei Ohtani,LAN| ANA,159,1,LEFT,731,636,197,134,54,130,81,59,4,0.31,DH,3.405,3.784,3.039,4.036,2.557,16.822,19.3945,2.5725000000000002,51.58760802198299,
2,Aaron Judge,NYA,158,3,RIGHT,704,559,180,122,58,144,133,10,0,0.322,CF| DH,2.744,4.232,3.741,-0.146,2.775,13.345,17.733,4.388,47.16816896820358,
3,Bobby Witt,KCA,161,2,RIGHT,709,636,211,125,32,109,57,31,12,0.332,SS,2.909,1.325,1.985,1.646,3.634,11.5,17.58,6.08,46.76120286815648,
4,Jose Ramirez,CLE,158,3,SWITCH,682,620,173,114,39,118,54,41,7,0.279,3B| DH,2.303,2.108,2.437,2.5,1.028,10.375,14.481,4.106,38.51814441033982,
5,Juan Soto,NYN| WAS| SDN| NYA,157,2,LEFT,713,576,166,128,41,109,129,7,4,0.288,RF,3.075,2.331,1.985,-0.403,1.361,8.35,12.738,4.388,33.88192276078369,
6,Gunnar Henderson,BAL,159,1,LEFT,719,630,177,118,37,92,78,21,4,0.281,SS,2.524,1.884,1.132,0.792,1.138,7.47,13.55,6.08,36.041768991099,
7,Elly De La Cruz,CIN,160,2,SWITCH,696,618,160,105,25,76,69,67,16,0.259,SS,1.807,0.543,0.329,4.719,0.068,7.467,13.547,6.08,36.033789263647094,
8,Francisco Lindor,NYN| CLE,152,1,SWITCH,689,618,169,107,33,91,56,29,4,0.273,SS,1.918,1.437,1.082,1.475,0.76,6.672,12.751999999999999,6.08,33.91916148889257,
9,Vladimir Guerrero,TOR,159,3,RIGHT,697,616,199,98,30,103,72,2,2,0.323,DH| 1B,1.422,1.102,1.684,-0.829,3.107,6.485,9.915000000000001,3.43,26.37299922854218,
10,Marcell Ozuna,ATL,162,3,RIGHT,688,606,183,96,39,104,74,1,0,0.302,DH,1.312,2.108,1.734,-0.915,2.075,6.313,8.8855,2.5725000000000002,23.634622757963847,
11,Brent Rooker,ATH| MIN| KCA| SDN| OAK,145,3,RIGHT,614,546,160,82,39,112,59,11,3,0.293,DH,0.54,2.108,2.136,-0.061,1.494,6.216,8.7885,2.5725000000000002,23.376611570352292,
12,Jarren Duran,BOS,160,1,LEFT,735,671,191,111,21,75,54,34,7,0.285,LF| CF,2.138,0.096,0.279,1.902,1.403,5.818,10.206,4.388,27.14703279137685,
13,Ketel Marte,ARI,135,2,SWITCH,583,504,147,93,36,95,65,7,1,0.292,2B| DH,1.146,1.772,1.283,-0.403,1.326,5.124,9.349,4.225,24.86749064928299,
14,Willy Adames,SFN| TBA| MIL,161,4,RIGHT,688,610,153,93,32,112,74,21,4,0.251,SS,1.146,1.325,2.136,0.792,-0.312,5.088,11.168,6.08,29.705865394287347,
15,Yordan Alvarez,HOU,147,3,LEFT,635,552,170,88,35,86,69,6,0,0.308,LF| DH,0.871,1.661,0.831,-0.488,2.144,5.019,9.407,4.388,25.021765380019797,
16,Kyle Schwarber,PHI| CHN| BOS| WAS,150,1,LEFT,692,573,142,110,38,104,106,5,3,0.248,DH,2.083,1.996,1.734,-0.573,-0.425,4.815,7.387500000000001,2.5725000000000002,19.6500788503132,
17,Teoscar Hernandez,LAN| TOR| SEA,154,4,RIGHT,652,589,160,84,33,99,53,12,3,0.272,LF| RF,0.65,1.437,1.483,0.024,0.642,4.237,8.625,4.388,22.94171642422353,
18,Corbin Carroll,ARI,155,1,LEFT,684,589,136,120,22,74,73,35,8,0.231,RF| CF,2.634,0.208,0.229,1.987,-1.204,3.854,8.242,4.388,21.922971219530478,
19,Manny Machado,SDN,152,4,RIGHT,643,593,163,77,29,105,45,11,2,0.275,3B| DH,0.265,0.99,1.784,-0.061,0.794,3.772,7.878,4.106,20.954764288699476,
20,William Contreras,MIL| ATL,155,2,RIGHT,679,595,167,99,23,92,78,9,2,0.281,CC| DH,1.477,0.319,1.132,-0.232,1.062,3.758,10.54,6.782,28.035442447688812,
21,Jose Altuve,HOU,153,1,RIGHT,682,628,185,94,20,65,47,22,7,0.295,2B,1.201,-0.016,-0.222,0.878,1.793,3.633,7.858,4.225,20.901566105686783,
22,Jackson Merrill,SDN,154,6,LEFT,593,554,162,77,24,90,29,16,3,0.292,CF,0.265,0.431,1.032,0.366,1.489,3.582,7.97,4.388,21.19947593055786,
23,Anthony Santander,TOR| BAL,155,4,SWITCH,665,595,140,91,44,102,58,2,0,0.235,RF| DH,1.036,2.667,1.634,-0.829,-1.015,3.492,7.88,4.388,20.960084107000743,
24,Bryce Harper,PHI,145,3,LEFT,631,550,157,85,30,87,76,7,4,0.285,1B,0.705,1.102,0.881,-0.403,1.184,3.47,6.9,3.43,18.353373139378824,
25,Jurickson Profar,ATL| SDN| COL,158,2,SWITCH,668,564,158,94,24,85,76,10,3,0.28,LF,1.201,0.431,0.781,-0.146,0.983,3.25,7.638,4.388,20.316386092547166,
26,Jazz Chisholm,NYA| MIA,147,1,LEFT,621,562,144,74,24,73,53,40,10,0.256,CF| 3B,0.099,0.431,0.179,2.414,-0.054,3.07,7.458,4.388,19.83760244543294,
27,Eugenio Suarez,ARI| SEA| CIN,157,7,RIGHT,640,571,146,90,30,101,49,2,1,0.256,3B,0.981,1.102,1.584,-0.829,-0.078,2.759,6.865,4.106,18.260276319106612,
28,Josh Naylor,ARI| SEA| CLE| SDN,152,4,LEFT,633,563,137,84,31,108,58,6,2,0.243,1B,0.65,1.214,1.935,-0.488,-0.612,2.699,6.129,3.43,16.302583184239538,
29,Trea Turner,PHI| WAS| LAN,121,2,RIGHT,539,505,149,88,21,62,27,19,4,0.295,SS,0.871,0.096,-0.373,0.622,1.46,2.675,8.754999999999999,6.08,23.28750461380603,
30,Brenton Doyle,COL,147,3,RIGHT,603,542,141,82,23,72,46,30,4,0.26,CF,0.54,0.319,0.129,1.561,0.112,2.66,7.048,4.388,18.747039693672747,
31,Jackson Chourio,MIL,144,1,RIGHT,573,528,145,79,21,79,39,22,7,0.275,LF| RF,0.375,0.096,0.48,0.878,0.696,2.525,6.913,4.388,18.387951958337077,
32,Freddie Freeman,LAN| ATL,147,3,LEFT,638,542,153,81,22,89,78,9,2,0.282,1B,0.485,0.208,0.982,-0.232,1.035,2.477,5.907,3.43,15.712083352798654,
33,Matt Chapman,SFN| OAK| TOR,154,4,RIGHT,647,575,142,98,27,78,64,15,2,0.247,3B,1.422,0.766,0.43,0.28,-0.465,2.433,6.539,4.106,17.39314593599973,
34,Rafael Devers,BOS| SFN,138,4,LEFT,601,525,143,87,28,83,67,3,0,0.272,3B,0.816,0.878,0.681,-0.744,0.602,2.233,6.339,4.106,16.861164105872806,
35,Bryan Reynolds,PIT,156,2,SWITCH,692,622,171,73,24,88,57,10,2,0.275,LF| DH| RF,0.044,0.431,0.931,-0.146,0.835,2.095,6.4830000000000005,4.388,17.24419102356419,
36,Pete Alonso,NYN,162,4,RIGHT,695,608,146,91,34,88,70,3,0,0.24,1B,1.036,1.549,0.931,-0.744,-0.811,1.962,5.392,3.43,14.34223014022183,
37,Julio Rodriguez,SEA,141,2,RIGHT,613,567,155,76,20,68,38,24,5,0.273,CF,0.21,-0.016,-0.072,1.049,0.693,1.863,6.2509999999999994,4.388,16.62709210061696,
38,Mookie Betts,LAN,116,1,RIGHT,516,450,130,75,19,75,61,16,2,0.289,RF| SS,0.154,-0.128,0.279,0.366,1.087,1.759,7.839,6.08,20.851027831824727,
39,Ezequiel Tovar,COL,157,2,RIGHT,695,655,176,83,26,78,23,6,5,0.269,SS,0.595,0.655,0.43,-0.488,0.566,1.758,7.838,6.08,20.84836792267409,
