,Name,Team,GP,BO,L/R,PA,AB,H,R,HR,RBI,BB,SB,CS,AVG,POS,R-Z,HR-Z,RBI-Z,SB-Z,AVG-Z,SUM-Z,SUM-Z-A,Adj-Val,ACV,
40,Ian Happ,CHN,153,1,SWITCH,657,569,138,89,25,86,80,13,2,0.243,LF,0.926,0.543,0.831,0.11,-0.654,1.756,6.144,4.388,16.342481821499057,
41,Seiya Suzuki,CHN,132,3,RIGHT,585,512,145,74,21,73,63,16,6,0.283,RF| DH,0.099,0.096,0.179,0.366,1.013,1.753,6.141,4.388,16.334502094047153,
42,Zach Neto,ANA,155,2,RIGHT,602,542,135,69,23,77,39,30,10,0.249,SS,-0.176,0.319,0.38,1.561,-0.35,1.734,7.814,6.08,20.78453010305886,
43,Salvador Perez,KCA,158,4,RIGHT,652,590,160,58,27,104,44,0,0,0.271,CC| DH| 1B,-0.782,0.766,1.734,-1.0,0.622,1.341,8.123,6.782,21.606442030604953,
44,Oneil Cruz,PIT,145,3,LEFT,599,541,140,71,21,76,51,22,1,0.259,SS| CF,-0.066,0.096,0.329,0.878,0.054,1.292,7.372,6.08,19.60885025847836,
45,Matt Olson,ATL| OAK,162,4,LEFT,685,600,148,78,29,98,71,0,0,0.247,1B,0.32,0.99,1.433,-1.0,-0.499,1.244,4.674,3.43,12.43241537006618,
46,CJ Abrams,WAS| SDN,137,1,LEFT,602,541,133,78,20,65,40,31,12,0.246,SS,0.32,-0.016,-0.222,1.646,-0.484,1.243,7.323,6.08,19.478514710097265,
47,Yainer Diaz,HOU,148,4,RIGHT,619,585,175,70,16,84,24,2,0,0.299,DH| CC,-0.121,-0.463,0.731,-0.829,1.875,1.192,7.974,6.782,21.210115567160397,
48,Cal Raleigh,SEA,153,3,SWITCH,628,546,120,73,34,100,70,6,1,0.22,CC,0.044,1.549,1.534,-0.488,-1.583,1.056,7.838,6.782,20.84836792267409,
49,Brandon Nimmo,NYN,151,2,LEFT,663,571,128,88,23,90,77,15,0,0.224,LF| CF,0.871,0.319,1.032,0.28,-1.463,1.04,5.428,4.388,14.437986869644675,
50,Brice Turang,MIL,153,1,LEFT,619,559,142,72,7,57,50,50,6,0.254,2B,-0.011,-1.469,-0.624,3.268,-0.148,1.016,5.241,4.225,13.940583858476002,
51,Nick Castellanos,PHI| CIN,162,5,RIGHT,659,606,154,80,23,86,41,6,2,0.254,RF,0.43,0.319,0.831,-0.488,-0.156,0.937,5.325,4.388,14.164016227129311,
52,Corey Seager,TEX| LAN,123,2,LEFT,533,475,132,68,30,74,53,1,1,0.278,SS,-0.231,1.102,0.229,-0.915,0.746,0.931,7.011,6.08,18.648623055099268,
53,Spencer Steer,CIN,158,4,RIGHT,656,574,129,74,20,92,72,25,3,0.225,LF| 1B,0.099,-0.016,1.132,1.134,-1.445,0.904,5.292,4.388,14.076239225158368,
54,Jeremy Pena,HOU,157,5,RIGHT,650,602,160,78,15,70,25,20,6,0.266,SS,0.32,-0.575,0.028,0.707,0.385,0.865,6.945,6.08,18.47306905115738,
55,Luis Garcia,WAS,140,5,LEFT,528,500,141,58,18,70,27,22,5,0.282,2B,-0.782,-0.24,0.028,0.878,0.943,0.828,5.053,4.225,13.440520938156695,
56,Marcus Semien,TEX| OAK| TOR,159,1,RIGHT,718,650,154,101,23,74,64,8,3,0.237,2B,1.587,0.319,0.229,-0.317,-1.027,0.791,5.016,4.225,13.342104299583214,
57,Riley Greene,DET,137,4,LEFT,584,512,134,82,24,74,64,4,2,0.262,CF| LF| DH,0.54,0.431,0.229,-0.659,0.167,0.709,5.0969999999999995,4.388,13.557556940784616,
58,Alec Burleson,SLN,152,2,LEFT,595,547,147,71,21,78,35,9,4,0.269,DH| LF| RF,-0.066,0.096,0.43,-0.232,0.474,0.702,5.09,4.388,13.538937576730175,
59,Alex Bregman,BOS| HOU,145,2,RIGHT,634,581,151,79,26,75,44,3,1,0.26,3B,0.375,0.655,0.279,-0.744,0.108,0.673,4.779,4.106,12.711705830882812,
60,Alec Bohm,PHI,143,4,RIGHT,606,554,155,62,15,97,40,5,2,0.28,3B,-0.562,-0.575,1.383,-0.573,0.951,0.624,4.7299999999999995,4.106,12.581370282501714,
61,Nico Hoerner,CHN,149,1,RIGHT,641,582,159,86,7,48,44,31,6,0.273,2B,0.761,-1.469,-1.075,1.646,0.704,0.566,4.7909999999999995,4.225,12.743624740690425,
62,Lourdes Gurriel,ARI| TOR,133,3,RIGHT,553,513,143,72,18,75,29,7,1,0.279,LF,-0.011,-0.24,0.279,-0.403,0.84,0.466,4.854,4.388,12.911199017180408,
63,Wyatt Langford,TEX,134,5,RIGHT,557,499,126,74,16,74,51,19,3,0.253,LF| DH,0.099,-0.463,0.229,0.622,-0.191,0.297,4.685,4.388,12.461674370723157,
64,Christian Walker,HOU| ARI,129,4,RIGHT,552,479,120,72,26,84,55,2,2,0.251,1B,-0.011,0.655,0.731,-0.829,-0.256,0.289,3.7190000000000003,3.43,9.892202131210123,
65,Cody Bellinger,NYA| LAN| CHN,130,3,LEFT,569,516,137,72,18,78,45,9,2,0.266,CF| 1B| DH| RF,-0.011,-0.24,0.43,-0.232,0.319,0.266,4.654,4.388,12.379217187053484,
66,Anthony Volpe,NYA,159,1,RIGHT,689,637,155,89,12,60,42,28,7,0.243,SS,0.926,-0.91,-0.473,1.39,-0.693,0.239,6.319,6.08,16.807965922860113,
67,Luis Arraez,SDN| MIN| MIA,150,1,LEFT,672,637,200,83,4,46,24,9,3,0.314,DH| 1B| 2B,0.595,-1.804,-1.176,-0.232,2.768,0.151,4.3759999999999994,4.225,11.639762443177062,
68,Vinnie Pasquantino,KCA,131,3,LEFT,554,496,130,64,19,97,40,1,0,0.262,1B| DH,-0.452,-0.128,1.383,-0.915,0.176,0.065,3.495,3.43,9.29638248146797,
69,Steven Kwan,CLE,122,1,LEFT,540,480,140,83,14,44,53,12,5,0.292,LF,0.595,-0.687,-1.276,0.024,1.262,-0.081,4.3069999999999995,4.388,11.456228711783274,
70,Masyn Winn,SLN,148,1,RIGHT,637,587,157,85,15,57,41,11,5,0.267,SS,0.705,-0.575,-0.624,-0.061,0.451,-0.103,5.977,6.08,15.898276993343078,
71,Jake Burger,TEX| CHA| MIA,137,3,RIGHT,579,535,134,68,29,76,31,1,1,0.25,3B| 1B| DH,-0.231,0.99,0.329,-0.915,-0.288,-0.115,3.9909999999999997,4.106,10.615697420182736,
72,Dansby Swanson,CHN| ATL,148,7,RIGHT,593,534,129,82,16,66,54,19,3,0.242,SS,0.54,-0.463,-0.172,0.622,-0.653,-0.126,5.954,6.08,15.83709908287848,
73,Taylor Ward,ANA,156,3,RIGHT,663,585,144,73,25,75,63,6,4,0.246,LF,0.044,0.543,0.279,-0.488,-0.509,-0.131,4.257,4.388,11.323233254251543,
74,Colton Cowser,BAL,149,7,LEFT,561,499,121,77,24,69,52,9,4,0.242,LF| CF,0.265,0.431,-0.022,-0.232,-0.575,-0.133,4.255,4.388,11.317913435950274,
75,Ceddanne Rafaela,BOS,151,9,RIGHT,571,544,134,70,15,75,15,19,10,0.246,CF| SS,-0.121,-0.575,0.279,0.622,-0.466,-0.261,5.819,6.08,15.478011347542807,
76,Tyler O'Neill,BAL| SLN| BOS,112,3,RIGHT,473,411,99,74,31,61,53,4,0,0.241,RF| LF,0.099,1.214,-0.423,-0.659,-0.525,-0.293,4.095,4.388,10.892327971848736,
77,Lawrence Butler,ATH| OAK,119,1,LEFT,451,412,108,63,22,57,35,17,0,0.262,RF,-0.507,0.208,-0.624,0.451,0.148,-0.324,4.064,4.388,10.809870788179063,
78,Joc Pederson,TEX| LAN| ATL| CHN| SFN| ARI,132,3,LEFT,449,367,101,62,23,64,55,7,4,0.275,DH,-0.562,0.319,-0.273,-0.403,0.501,-0.417,2.1555000000000004,2.5725000000000002,5.733434174192908,
79,Lane Thomas,CLE| SLN| WAS,128,2,RIGHT,528,472,112,64,15,63,44,31,14,0.237,RF| CF,-0.452,-0.575,-0.323,1.646,-0.733,-0.436,3.952,4.388,10.511960963307986,
80,Adolis Garcia,TEX,154,4,RIGHT,637,580,130,68,25,85,45,11,5,0.224,RF| DH,-0.231,0.543,0.781,-0.061,-1.487,-0.455,3.933,4.388,10.461422689445929,
81,Cedric Mullins,BAL| NYN,138,7,LEFT,499,444,104,67,18,54,41,30,6,0.234,CF,-0.286,-0.24,-0.774,1.561,-0.794,-0.533,3.855,4.388,10.25394977569643,
82,Brendan Donovan,SLN,153,1,LEFT,652,587,163,65,14,73,47,5,5,0.278,LF| 2B,-0.397,-0.687,0.179,-0.573,0.913,-0.565,3.823,4.388,10.168832682876122,
83,Maikel Garcia,KCA,156,1,RIGHT,626,575,133,83,7,58,42,35,2,0.231,3B| 2B,0.595,-1.469,-0.574,1.987,-1.157,-0.617,3.6079999999999997,4.225,9.59695221548968,
84,Jake McCarthy,ARI,128,6,LEFT,495,442,126,63,8,56,31,23,6,0.285,RF| LF| CF,-0.507,-1.357,-0.674,0.963,0.938,-0.637,3.751,4.388,9.97731922403043,
85,Mark Vientos,NYN,110,6,RIGHT,454,413,110,58,27,71,33,0,0,0.266,3B,-0.782,0.766,0.079,-1.0,0.282,-0.655,3.4509999999999996,4.106,9.179346478840046,
86,Andres Gimenez,TOR| NYN| CLE,151,2,LEFT,633,583,147,64,9,63,26,30,5,0.252,2B,-0.452,-1.246,-0.323,1.561,-0.239,-0.698,3.5269999999999997,4.225,9.381499574288277,
87,Willi Castro,CHN| MIN| DET,155,1,SWITCH,635,558,138,89,12,60,51,14,9,0.247,SS| 2B| LF| 3B| CF,0.926,-0.91,-0.473,0.195,-0.436,-0.699,5.381,6.08,14.31297113956485,
88,Nolan Arenado,SLN| COL,152,4,RIGHT,635,578,157,70,16,71,44,2,2,0.272,3B,-0.121,-0.463,0.079,-0.829,0.629,-0.706,3.4,4.106,9.043691112157681,
89,Heliot Ramos,SFN,121,3,RIGHT,518,475,128,54,22,72,37,6,1,0.269,LF| CF,-1.003,0.208,0.129,-0.488,0.438,-0.716,3.6719999999999997,4.388,9.767186401130296,
90,Will Smith,LAN,128,4,RIGHT,544,476,118,77,20,75,51,1,1,0.248,CC,0.265,-0.016,0.279,-0.915,-0.35,-0.737,6.045,6.782,16.07915081558623,
91,Paul Goldschmidt,NYA| SLN,154,3,RIGHT,654,599,147,70,22,65,47,11,0,0.245,1B,-0.121,0.208,-0.222,-0.061,-0.556,-0.753,2.677,3.43,7.120576796248857,
92,Jonathan India,KCA| CIN,151,1,RIGHT,637,533,132,84,15,58,80,13,2,0.248,2B,0.65,-0.575,-0.574,0.11,-0.402,-0.791,3.4339999999999997,4.225,9.134128023279258,
93,Bryson Stott,PHI,147,5,LEFT,571,506,124,65,11,57,53,32,3,0.245,2B,-0.397,-1.022,-0.624,1.731,-0.483,-0.794,3.4309999999999996,4.225,9.126148295827353,
94,Fernando Tatis,SDN,101,2,RIGHT,438,398,110,64,21,49,32,11,3,0.276,RF,-0.452,0.096,-1.025,-0.061,0.579,-0.863,3.525,4.388,9.376179755987009,
95,Jake Cronenworth,SDN,154,3,LEFT,656,577,139,72,17,83,61,5,2,0.241,2B| 1B,-0.011,-0.351,0.681,-0.573,-0.735,-0.99,3.2349999999999994,4.225,8.60480610230297,
96,Kyle Tucker,CHN| HOU,78,2,LEFT,339,277,80,56,23,49,56,11,0,0.289,RF,-0.892,0.319,-1.025,-0.061,0.668,-0.992,3.396,4.388,9.033051475555142,
97,Jesus Sanchez,HOU| MIA,149,4,LEFT,537,489,123,60,18,64,41,16,2,0.252,RF,-0.672,-0.24,-0.273,0.366,-0.223,-1.042,3.346,4.388,8.900056018023413,
98,Jorge Soler,ANA| KCA| ATL| MIA| SFN,142,1,RIGHT,574,493,119,84,21,64,68,1,0,0.241,DH| RF,0.65,0.096,-0.273,-0.915,-0.61,-1.051,3.3369999999999997,4.388,8.8761168356677,
99,Adley Rutschman,BAL,148,2,SWITCH,638,571,143,68,19,79,58,1,0,0.25,DH| CC,-0.231,-0.128,0.48,-0.915,-0.309,-1.103,5.679,6.782,15.105624066453963,
100,Gleyber Torres,DET| NYA,154,1,RIGHT,665,587,151,80,15,63,65,4,3,0.257,2B,0.43,-0.575,-0.323,-0.659,-0.01,-1.137,3.0879999999999996,4.225,8.21379945715968,
101,Shea Langeliers,ATH| OAK,135,4,RIGHT,534,482,108,58,29,80,41,4,2,0.224,CC,-0.782,0.99,0.53,-0.659,-1.238,-1.159,5.623,6.782,14.956669154018424,
102,Randy Arozarena,SEA| TBA,154,2,RIGHT,648,549,120,77,20,60,73,20,10,0.219,LF,0.265,-0.016,-0.473,0.707,-1.642,-1.16,3.2279999999999998,4.388,8.586186738248527,
103,Matt Vierling,DET| PHI,143,1,RIGHT,567,518,133,79,16,57,41,6,1,0.257,3B| CF| RF,0.375,-0.463,-0.624,-0.488,-0.028,-1.228,3.16,4.388,8.405312916005375,
104,Michael Busch,CHN| LAN,149,2,LEFT,567,496,123,73,21,65,63,2,1,0.248,1B,0.044,0.096,-0.222,-0.829,-0.362,-1.274,2.156,3.43,5.734764128768224,
105,Tyler Stephenson,CIN,136,3,RIGHT,515,457,118,69,19,66,48,1,0,0.258,CC,-0.176,-0.128,-0.172,-0.915,0.026,-1.365,5.417,6.782,14.408727868987693,
106,Byron Buxton,MIN,96,5,RIGHT,388,355,99,60,18,56,20,6,2,0.279,CF,-0.672,-0.24,-0.674,-0.488,0.584,-1.489,2.899,4.388,7.7110766276897404,
107,Josh Smith,TEX,148,3,LEFT,592,523,135,67,13,62,46,11,2,0.258,3B| SS,-0.286,-0.798,-0.373,-0.061,0.026,-1.492,4.588,6.08,12.203663183111601,
108,Brandon Marsh,PHI| ANA,134,7,LEFT,476,418,104,55,16,60,50,19,3,0.249,LF| CF,-0.947,-0.463,-0.473,0.622,-0.279,-1.541,2.847,4.388,7.572761351856741,
109,Carlos Santana,CHN| CLE| KCA| SEA| MIL| PIT| MIN,149,6,SWITCH,594,521,124,63,23,71,65,4,0,0.238,1B,-0.507,0.319,0.079,-0.659,-0.78,-1.547,1.8830000000000002,3.43,5.008608930644975,
110,Nathaniel Lowe,BOS| WAS| TBA| TEX,140,5,LEFT,565,486,129,62,16,69,71,2,0,0.265,1B,-0.562,-0.463,-0.022,-0.829,0.298,-1.578,1.852,3.43,4.926151746975302,
111,Jordan Westburg,BAL,107,5,RIGHT,447,416,110,57,18,63,22,6,3,0.264,3B| 2B,-0.837,-0.24,-0.323,-0.488,0.222,-1.665,2.5599999999999996,4.225,6.809367425624607,
112,Rhys Hoskins,MIL| PHI,131,6,RIGHT,517,449,96,59,26,82,53,3,0,0.214,DH| 1B,-0.727,0.655,0.63,-0.744,-1.508,-1.694,1.7360000000000002,3.43,4.617602285501687,
113,Jesse Winker,NYN| CIN| SEA| MIL| WAS,144,3,LEFT,508,430,109,63,14,58,63,14,4,0.253,LF| DH,-0.507,-0.687,-0.574,0.195,-0.132,-1.704,2.684,4.388,7.1391961603033,
114,Jacob Young,WAS,145,9,RIGHT,521,468,120,74,3,36,30,33,9,0.256,CF,0.099,-1.916,-1.677,1.817,-0.038,-1.716,2.6719999999999997,4.388,7.107277250495683,
115,Isaac Paredes,HOU| DET| TBA| CHN,153,4,RIGHT,641,542,129,64,19,80,76,1,1,0.238,3B,-0.452,-0.128,0.53,-0.915,-0.811,-1.775,2.331,4.106,6.200248230129281,
116,Luke Raley,SEA| LAN| TBA,133,5,LEFT,455,404,98,56,22,58,27,11,2,0.243,LF| 1B| RF,-0.892,0.208,-0.574,-0.061,-0.463,-1.782,2.606,4.388,6.9317232465537995,
117,Ryan McMahon,COL| NYA,153,3,LEFT,645,567,137,68,20,65,69,4,6,0.242,3B,-0.231,-0.016,-0.222,-0.659,-0.691,-1.819,2.287,4.106,6.083212227501358,
118,Yandy Diaz,TBA,145,1,RIGHT,621,563,158,55,14,65,50,0,0,0.281,DH| 1B,-0.947,-0.687,-0.222,-1.0,1.003,-1.853,1.5770000000000002,3.43,4.194676730550784,
119,JJ Bleday,ATH| MIA| OAK,158,3,LEFT,642,572,139,74,20,60,67,2,3,0.243,CF,0.099,-0.016,-0.473,-0.829,-0.636,-1.856,2.532,4.388,6.734889969406838,
120,George Springer,TOR| HOU,145,1,RIGHT,614,545,120,74,19,56,60,16,1,0.22,RF| DH,0.099,-0.128,-0.674,0.366,-1.563,-1.9,2.488,4.388,6.617853966778915,
121,Josh Bell,WAS| PIT| SDN| CLE| MIA| ARI,145,3,SWITCH,603,538,134,62,19,71,51,0,1,0.249,1B| DH,-0.562,-0.128,0.079,-1.0,-0.348,-1.959,1.471,3.43,3.9127263605835148,
122,Christian Yelich,MIL,73,3,LEFT,315,270,85,44,11,42,40,21,1,0.315,LF| DH,-1.554,-1.022,-1.376,0.792,1.191,-1.969,2.4189999999999996,4.388,6.434320235385126,
123,Michael Toglia,COL,115,6,SWITCH,458,399,87,62,25,55,54,10,1,0.218,1B,-0.562,0.543,-0.724,-0.146,-1.21,-2.099,1.331,3.43,3.5403390794946685,
124,Carlos Correa,HOU| MIN,86,2,RIGHT,367,319,99,55,14,54,40,0,0,0.31,SS,-0.947,-0.687,-0.774,-1.0,1.297,-2.111,3.969,6.08,10.557179418868776,
125,Giancarlo Stanton,NYA,114,5,RIGHT,459,417,97,49,27,72,38,0,0,0.233,DH,-1.278,0.766,0.129,-1.0,-0.797,-2.18,0.39250000000000007,2.5725000000000002,1.0440143416240855,
126,Michael Harris,ATL,110,1,LEFT,470,440,116,58,16,48,23,10,6,0.264,CF,-0.782,-0.463,-1.075,-0.146,0.209,-2.258,2.13,4.388,5.665606490851724,
127,Connor Wong,BOS,125,5,RIGHT,487,447,125,53,13,52,28,8,7,0.28,CC,-1.058,-0.798,-0.875,-0.317,0.762,-2.286,4.496,6.782,11.958951541253217,
128,Ryan O'Hearn,BAL| SDN| KCA,141,3,LEFT,494,443,117,60,15,59,46,3,1,0.264,1B| DH,-0.672,-0.575,-0.524,-0.744,0.226,-2.288,1.1420000000000003,3.43,3.037616250024728,
129,Bryan De La Cruz,ATL| MIA| PIT,149,2,RIGHT,622,584,136,60,21,68,29,5,2,0.233,DH| LF| RF,-0.672,0.096,-0.072,-0.573,-1.105,-2.326,2.062,4.388,5.48473266860857,
130,Brandon Lowe,TBA,107,2,LEFT,425,385,94,56,21,58,33,5,1,0.244,DH| 2B,-0.892,0.096,-0.574,-0.573,-0.394,-2.338,1.8869999999999996,4.225,5.019248567247512,
131,Austin Riley,ATL,110,3,RIGHT,469,425,109,63,19,56,37,0,0,0.256,3B,-0.507,-0.128,-0.674,-1.0,-0.033,-2.341,1.7649999999999997,4.106,4.69473965087009,
132,Wilyer Abreu,BOS,132,2,LEFT,447,399,101,58,15,58,40,8,3,0.253,RF,-0.782,-0.575,-0.574,-0.317,-0.133,-2.381,2.007,4.388,5.338437665323667,
133,Ryan Mountcastle,BAL,124,3,RIGHT,507,473,128,54,13,63,27,3,0,0.271,1B,-1.003,-0.798,-0.323,-0.744,0.478,-2.39,1.04,3.43,2.7663055166599966,
134,Andrew Vaughn,CHA| MIL,149,4,RIGHT,619,570,140,55,19,70,38,2,0,0.246,1B| DH,-0.947,-0.128,0.028,-0.829,-0.52,-2.396,1.0340000000000003,3.43,2.75034606175619,
135,Brendan Rodgers,HOU| COL,132,5,RIGHT,539,501,134,66,13,54,31,1,0,0.267,2B,-0.341,-0.798,-0.774,-0.915,0.385,-2.444,1.7809999999999997,4.225,4.737298197280244,
136,Jose Caballero,NYA| TBA| SEA,131,7,RIGHT,483,441,100,50,9,44,27,39,13,0.227,SS| 3B| 2B,-1.223,-1.246,-1.276,2.329,-1.042,-2.457,3.623,6.08,9.6368508527492,
137,Logan O'Hoppe,ANA,136,5,RIGHT,522,479,117,64,20,56,33,2,3,0.244,CC,-0.452,-0.016,-0.674,-0.829,-0.487,-2.458,4.324,6.782,11.501447167344063,
138,Colt Keith,DET,148,5,LEFT,556,516,134,54,13,61,36,7,1,0.26,2B,-1.003,-0.798,-0.423,-0.403,0.088,-2.539,1.6859999999999995,4.225,4.484606827969955,
