,Name,Team,L/R,POS,IP,GS,GP,HA,R,ER,HR,BB,K,W,L,S,HD,BS,ERA,WHIP,SB,CS,SBP,W-Z,K-Z,S-Z,ERA-Z,WHIP-Z,Z-SUM,Z-SUM-A,ACV,
24,Sonny Gray,SLN| CIN| MIN,RIGHT,SP,166.33333333333331,28,28,142,79,71,21,39,203,13,9,0,0,0,3.842,1.088,25,5,0.15,1.091,1.452,-0.501,-0.17,0.857,2.729,9.519,17.903879863221203,
25,Ryan Walker,SFN,RIGHT,RP,80.00000000000001,1,76,50,19,17,5,18,99,10,4,10,0,0,1.913,0.850,8,2,0.1,0.31,-0.791,0.375,1.354,1.33,2.579,9.369,17.621751280441167,
26,Tanner Bibee,CLE,RIGHT,SP,173.66666666666666,31,31,150,70,67,22,44,187,12,8,0,0,0,3.472,1.117,6,6,0.035,0.831,1.107,-0.501,0.42,0.652,2.509,9.299,17.490091275143815,
27,Aaron Nola,PHI,RIGHT,SP,199.33333333333334,33,33,189,84,79,30,50,197,14,8,0,0,0,3.567,1.199,12,6,0.06,1.351,1.322,-0.501,0.306,-0.038,2.441,9.231,17.36219298428353,
28,Josh Hader,HOU| MIL| SDN,LEFT,RP,71.0,0,71,43,33,30,12,25,105,8,8,34,0,0,3.803,0.958,5,1,0.07,-0.21,-0.662,2.478,-0.047,0.812,2.371,9.161,17.23053297898618,
29,Jose Berrios,TOR| MIN,RIGHT,SP,192.33333333333334,32,32,168,79,77,31,54,153,16,11,0,0,0,3.603,1.154,12,5,0.062,1.872,0.373,-0.501,0.231,0.378,2.353,9.143,17.196677549052577,
30,Reynaldo Lopez,ATL| CHA| ANA| CLE,RIGHT,SP,135.66666666666669,25,26,108,32,30,10,42,148,8,5,0,0,0,1.990,1.106,20,1,0.147,-0.21,0.266,-0.501,2.198,0.584,2.337,9.127,17.16658383355604,
31,Luis Gil,NYA,RIGHT,SP,151.66666666666669,29,29,104,60,59,18,77,171,15,7,0,0,0,3.501,1.193,6,2,0.04,1.612,0.762,-0.501,0.326,0.012,2.21,9.0,16.927714966802274,
32,Tyler Glasnow,LAN| TBA,RIGHT,SP,134.0,22,22,92,53,52,15,35,168,9,6,0,0,0,3.493,0.948,14,4,0.104,0.05,0.697,-0.501,0.299,1.597,2.142,8.932,16.79981667594199,
33,Robert Suarez,SDN,RIGHT,RP,65.0,0,65,52,21,20,7,16,59,9,3,36,0,0,2.769,1.046,0,1,0.0,0.05,-1.654,2.653,0.582,0.466,2.098,8.888,16.71705895832651,
34,Carlos Rodon,NYA| CHA| SFN,LEFT,SP,175.0,32,32,157,81,77,31,57,195,16,9,0,0,0,3.960,1.223,21,4,0.12,1.872,1.279,-0.501,-0.371,-0.235,2.044,8.834,16.615492668525697,
35,Tanner Scott,LAN| BAL| MIA| SDN,LEFT,RP,72.00000000000003,0,72,45,20,14,3,36,84,9,6,22,0,0,1.750,1.125,5,3,0.069,0.05,-1.115,1.427,1.328,0.243,1.932,8.722,16.404836660049934,
36,Pablo Lopez,MIN| MIA,RIGHT,SP,185.33333333333331,32,32,180,90,84,26,41,198,15,10,0,0,0,4.079,1.192,11,1,0.059,1.612,1.344,-0.501,-0.599,0.023,1.879,8.669,16.305151227467658,
37,Max Fried,NYA| ATL,LEFT,SP,174.3333333333333,29,29,146,71,63,13,57,166,11,10,0,0,0,3.252,1.164,13,2,0.075,0.571,0.654,-0.501,0.778,0.257,1.758,8.548,16.077567504025094,
38,Tyler Holton,DET| ARI,LEFT,SP| RP,94.33333333333331,9,66,57,25,23,7,17,77,7,2,8,0,0,2.194,0.784,3,0,0.032,-0.47,-1.266,0.2,1.349,1.867,1.68,8.47,15.930860640979473,
39,Nathan Eovaldi,TEX| BOS,RIGHT,SP,170.66666666666666,29,29,147,74,72,23,42,166,12,8,0,0,0,3.797,1.107,13,0,0.076,0.831,0.654,-0.501,-0.103,0.721,1.601,8.391,15.78227292071532,
40,Logan Webb,SFN,RIGHT,SP,204.66666666666663,33,33,202,83,79,11,50,172,13,10,0,0,0,3.474,1.231,21,5,0.103,1.091,0.783,-0.501,0.491,-0.358,1.507,8.297,15.605472342173163,
41,Bryan Woo,SEA,RIGHT,SP,121.33333333333333,22,22,96,41,39,14,13,101,9,3,0,0,0,2.893,0.898,4,0,0.033,0.05,-0.748,-0.501,0.947,1.735,1.483,8.273,15.560331768928355,
42,Garrett Crochet,BOS| CHA,LEFT,SP,146.00000000000003,32,32,123,61,58,18,33,209,6,12,0,0,0,3.575,1.069,17,1,0.116,-0.731,1.581,-0.501,0.213,0.89,1.453,8.243,15.503906052372349,
43,Tanner Houck,BOS,RIGHT,SP,178.66666666666666,30,30,156,75,62,11,48,154,9,10,0,0,0,3.123,1.142,11,1,0.062,0.05,0.395,-0.501,1.012,0.458,1.414,8.204,15.43055262084954,
44,Michael Wacha,KCA| NYN| TBA| BOS| SDN,RIGHT,SP,166.66666666666666,29,29,154,65,62,17,45,145,13,8,0,0,0,3.348,1.194,4,2,0.024,1.091,0.201,-0.501,0.595,0.008,1.394,8.184,15.392935476478865,
45,Nick Martinez,CIN| SDN,RIGHT,SP| RP,142.33333333333331,16,42,128,56,49,13,18,116,10,7,0,0,0,3.098,1.026,10,3,0.07,0.31,-0.425,-0.501,0.839,1.161,1.385,8.175,15.376007761512065,
46,Freddy Peralta,MIL,RIGHT,SP,173.66666666666666,32,32,143,74,71,26,68,200,11,9,0,0,0,3.679,1.215,17,5,0.098,0.571,1.387,-0.501,0.085,-0.167,1.374,8.164,15.355318332108194,
47,Jameson Taillon,CHN| NYA,RIGHT,SP,165.33333333333331,28,28,154,67,60,21,33,125,12,8,0,0,0,3.266,1.131,14,0,0.085,0.831,-0.231,-0.501,0.717,0.51,1.326,8.116,15.265037185618583,
48,Luis Castillo,SEA| CIN,RIGHT,SP,175.33333333333334,30,30,158,73,71,25,47,175,11,12,0,0,0,3.644,1.169,13,7,0.074,0.571,0.848,-0.501,0.143,0.218,1.278,8.068,15.17475603912897,
49,Mason Miller,ATH| SDN| OAK,RIGHT,RP,65.0,0,55,36,23,18,6,21,104,2,2,28,0,0,2.492,0.877,6,0,0.092,-1.772,-0.683,1.952,0.75,0.997,1.243,8.033,15.108926036480295,
50,Kevin Gausman,TOR| SFN,RIGHT,SP,181.0,31,31,165,86,77,20,56,162,14,11,0,0,0,3.829,1.221,20,4,0.11,1.351,0.568,-0.501,-0.163,-0.227,1.028,7.818,14.704541734495574,
51,Erick Fedde,ATL| MIL| SLN| WAS| CHA,RIGHT,SP,177.33333333333334,31,31,154,66,65,20,52,154,9,9,0,0,0,3.299,1.162,10,3,0.056,0.05,0.395,-0.501,0.715,0.285,0.944,7.734,14.546549728138753,
52,Zac Gallen,ARI,RIGHT,SP,148.0,28,28,133,62,60,13,54,156,14,6,0,0,0,3.649,1.264,18,2,0.122,1.351,0.438,-0.501,0.115,-0.489,0.914,7.704,14.490124011582745,
53,Ranger Suarez,PHI,LEFT,SP,150.66666666666669,27,27,140,63,58,14,41,145,12,8,0,0,0,3.465,1.201,8,3,0.053,0.831,0.201,-0.501,0.375,-0.046,0.86,7.65,14.388557721781932,
54,Joe Ryan,MIN,RIGHT,SP,135.0,23,23,110,59,54,19,23,147,7,7,0,0,0,3.600,0.985,11,2,0.081,-0.47,0.244,-0.501,0.166,1.365,0.804,7.594,14.283229717544051,
55,Hunter Brown,HOU,RIGHT,SP,169.99999999999997,30,31,156,71,66,18,60,179,11,9,0,0,0,3.494,1.271,20,9,0.118,0.571,0.934,-0.501,0.376,-0.619,0.761,7.551,14.202352857147108,
56,Griffin Jax,MIN| TBA,RIGHT,RP,71.0,0,72,47,19,16,4,15,95,5,5,10,0,0,2.028,0.873,3,1,0.042,-0.991,-0.878,0.375,1.125,1.101,0.733,7.523,14.149688855028167,
57,Cristopher Sanchez,PHI,LEFT,SP,181.66666666666666,31,31,182,76,67,11,44,153,11,9,0,0,0,3.319,1.244,14,6,0.077,0.571,0.373,-0.501,0.698,-0.429,0.711,7.501,14.108309996220429,
58,Jason Adam,SDN| CHN| TBA,RIGHT,RP,73.66666666666664,0,74,40,20,16,5,23,81,7,2,4,0,0,1.955,0.855,20,1,0.271,-0.47,-1.18,-0.151,1.218,1.207,0.624,7.414,13.944675418208005,
59,Yusei Kikuchi,ANA| SEA| TOR| HOU,LEFT,SP,175.66666666666666,32,32,167,85,79,25,44,206,9,10,0,0,0,4.047,1.201,8,4,0.046,0.05,1.517,-0.501,-0.515,-0.052,0.498,7.288,13.707687408672774,
60,Cade Smith,CLE,RIGHT,RP,75.33333333333331,0,74,51,16,16,1,17,103,6,1,1,0,0,1.911,0.903,4,1,0.053,-0.731,-0.705,-0.413,1.276,1.062,0.488,7.2780000000000005,13.688878836487438,
61,Spencer Schwellenbach,ATL,RIGHT,SP,123.66666666666669,21,21,106,49,46,14,23,127,8,7,0,0,0,3.348,1.043,4,1,0.032,-0.21,-0.187,-0.501,0.442,0.905,0.449,7.239,13.615525404964629,
62,Tobias Myers,MIL,RIGHT,SP,138.0,25,27,126,52,46,18,36,127,9,6,0,0,0,3.000,1.174,5,5,0.036,0.05,-0.187,-0.501,0.94,0.14,0.442,7.232,13.602359404434894,
63,Nestor Cortes,MIL| SDN| SEA| NYA,LEFT,SP,174.33333333333331,30,31,162,74,73,24,39,162,9,10,0,0,0,3.769,1.153,8,5,0.046,0.05,0.568,-0.501,-0.059,0.353,0.41,7.2,13.54217197344182,
64,Luke Weaver,NYA| ARI| KCA| CIN| SEA,RIGHT,RP,84.00000000000001,0,62,52,28,27,10,26,103,7,3,4,0,0,2.893,0.929,1,2,0.012,-0.47,-0.705,-0.151,0.656,1.079,0.409,7.199,13.540291116223285,
65,Zach Eflin,BAL| PHI| TBA,RIGHT,SP,165.3333333333333,28,28,166,71,66,22,24,134,10,9,0,0,0,3.593,1.149,5,4,0.03,0.31,-0.036,-0.501,0.214,0.365,0.352,7.142,13.433082254766871,
66,Hunter Gaddis,CLE,RIGHT,RP,74.66666666666666,0,78,43,16,13,4,14,66,6,3,0,0,0,1.567,0.763,1,0,0.013,-0.731,-1.503,-0.501,1.504,1.553,0.323,7.113,13.378537395429397,
67,Matt Strahm,PHI| SDN| BOS,LEFT,RP,62.66666666666666,0,66,36,14,13,4,11,79,6,2,3,0,0,1.867,0.750,2,2,0.032,-0.731,-1.223,-0.238,1.087,1.344,0.24,7.03,13.222426246291109,
68,Andres Munoz,SEA,RIGHT,RP,59.333333333333336,0,60,31,16,14,6,26,77,3,7,22,0,0,2.124,0.961,6,1,0.101,-1.511,-1.266,1.427,0.888,0.67,0.207,6.997,13.1603579580795,
69,Bowden Francis,TOR,RIGHT,SP| RP,103.66666666666667,13,27,74,41,38,17,22,92,8,5,0,0,0,3.299,0.926,1,1,0.01,-0.21,-0.942,-0.501,0.418,1.344,0.108,6.898,12.974153093444675,
70,Carlos Estevez,KCA| COL| ANA| PHI,RIGHT,RP,55.0,0,54,38,18,15,5,12,50,4,5,26,0,0,2.454,0.909,3,2,0.055,-1.251,-1.848,1.777,0.654,0.758,0.089,6.8790000000000004,12.938416806292539,
71,Grayson Rodriguez,BAL,RIGHT,SP,116.66666666666666,20,20,109,52,50,15,36,130,13,4,0,0,0,3.857,1.243,5,2,0.043,1.091,-0.123,-0.501,-0.136,-0.269,0.062,6.852,12.887633661392131,
72,Blake Snell,LAN| TBA| SDN| SFN,LEFT,SP,104.0,20,20,65,38,36,6,44,145,5,3,0,0,0,3.115,1.048,13,3,0.125,-0.991,0.201,-0.501,0.597,0.737,0.042,6.832,12.850016517021459,
73,Kutter Crawford,BOS,RIGHT,SP,183.66666666666669,33,33,155,97,89,34,51,175,9,16,0,0,0,4.361,1.122,7,3,0.038,0.05,0.848,-0.501,-1.075,0.65,-0.028,6.7620000000000005,12.718356511724108,
74,Justin Steele,CHN,LEFT,SP,134.66666666666666,24,24,111,54,46,12,37,135,5,5,0,0,0,3.074,1.099,9,2,0.067,-0.991,-0.015,-0.501,0.824,0.623,-0.06,6.73,12.658169080731033,
75,Luis Severino,ATH| NYA| NYN,RIGHT,SP,181.99999999999997,31,31,166,86,79,23,60,161,11,7,0,0,0,3.907,1.242,15,5,0.082,0.571,0.546,-0.501,-0.296,-0.41,-0.09,6.7,12.601743364175025,
76,Edwin Diaz,NYN,RIGHT,RP,53.66666666666667,0,54,36,23,21,7,20,84,6,4,20,0,0,3.522,1.044,22,1,0.41,-0.731,-1.115,1.251,0.105,0.392,-0.097,6.693,12.588577363645289,
77,Ryan Pepiot,TBA| LAN,RIGHT,SP,130.0,26,26,102,58,52,17,48,142,8,8,0,0,0,3.600,1.154,9,4,0.069,-0.21,0.136,-0.501,0.16,0.258,-0.158,6.632,12.473845073314742,
78,Gavin Stone,LAN,RIGHT,SP,140.33333333333334,25,25,133,55,55,18,37,116,11,5,0,0,0,3.527,1.211,8,1,0.057,0.571,-0.425,-0.501,0.267,-0.111,-0.199,6.591,12.396729927354865,
79,Cole Sands,MIN,RIGHT,RP,71.33333333333333,0,62,59,30,26,6,12,85,9,1,4,0,0,3.280,0.995,6,2,0.084,0.05,-1.093,-0.151,0.3,0.687,-0.207,6.583,12.381683069606597,
80,Bryan Hudson,CHA| MIL| LAN,LEFT,RP,62.333333333333336,0,43,28,12,12,7,17,62,6,1,0,0,0,1.733,0.722,3,2,0.048,-0.731,-1.589,-0.501,1.159,1.421,-0.24,6.55,12.319614781394987,
81,Alex Vesia,LAN| MIA,LEFT,RP,66.33333333333334,0,67,33,19,13,7,33,87,5,4,5,0,0,1.764,0.995,5,5,0.075,-0.991,-1.05,-0.063,1.215,0.64,-0.25,6.54,12.300806209209652,
82,Ben Lively,CLE| CIN,RIGHT,SP,151.0,29,29,139,67,64,23,49,118,13,10,0,0,0,3.815,1.245,12,3,0.079,1.091,-0.382,-0.501,-0.116,-0.364,-0.272,6.518,12.259427350401912,
83,Brady Singer,CIN| KCA,RIGHT,SP,179.66666666666666,32,32,175,77,74,22,54,170,9,13,0,0,0,3.707,1.275,3,6,0.017,0.05,0.74,-0.501,0.042,-0.689,-0.358,6.432,12.097673629608025,
84,Kenley Jansen,ANA| LAN| ATL| BOS,RIGHT,RP,54.66666666666667,0,54,38,20,20,4,20,62,4,2,27,0,0,3.293,1.061,10,3,0.183,-1.251,-1.589,1.865,0.223,0.353,-0.399,6.391,12.020558483648147,
85,Luis Ortiz,CLE| PIT,RIGHT,SP| RP,135.66666666666669,15,37,109,56,50,16,42,107,7,6,1,0,0,3.317,1.113,7,1,0.052,-0.47,-0.619,-0.413,0.524,0.536,-0.443,6.347,11.937800766032671,
86,Jeff Hoffman,TOR| COL| CIN| PHI,RIGHT,RP,66.33333333333331,0,68,48,20,16,6,16,89,3,3,10,0,0,2.171,0.965,3,0,0.045,-1.511,-1.007,0.375,0.963,0.736,-0.444,6.346,11.935919908814137,
87,Nick Pivetta,SDN| BOS| PHI,RIGHT,SP,145.66666666666669,26,27,128,70,67,28,36,172,6,12,0,0,0,4.140,1.126,11,3,0.076,-0.731,0.783,-0.501,-0.552,0.486,-0.515,6.275,11.802379046298253,
88,David Peterson,NYN,LEFT,SP,121.0,21,21,110,44,39,8,46,101,10,3,0,0,0,2.901,1.289,5,2,0.041,0.31,-0.748,-0.501,0.936,-0.55,-0.553,6.237,11.730906471993976,
89,Jhoan Duran,MIN| PHI,RIGHT,RP,54.333333333333336,0,58,48,30,22,4,15,66,6,9,23,0,0,3.644,1.159,6,3,0.11,-0.731,-1.503,1.514,0.044,0.093,-0.582,6.208,11.676361612656502,
90,Michael Kopech,LAN| CHA,RIGHT,RP,67.66666666666666,0,67,44,27,26,9,34,88,6,8,15,0,0,3.458,1.153,6,3,0.089,-0.731,-1.029,0.813,0.172,0.138,-0.636,6.154,11.574795322855687,
91,Yoshinobu Yamamoto,LAN,RIGHT,SP,90.0,18,18,78,32,30,7,22,105,7,2,0,0,0,3.000,1.111,3,1,0.033,-0.47,-0.662,-0.501,0.613,0.364,-0.657,6.133,11.535297321266482,
92,Jose Butto,NYN| SFN,RIGHT,SP| RP,73.99999999999999,7,30,41,21,21,6,38,79,7,3,3,0,0,2.554,1.068,3,3,0.041,-0.47,-1.223,-0.238,0.811,0.455,-0.666,6.124,11.518369606299679,
93,Jose Quintana,MIL| CHN| ANA| SFN| PIT| SLN| NYN,LEFT,SP,170.33333333333334,31,31,150,73,71,22,63,135,10,10,0,0,0,3.752,1.250,9,2,0.053,0.31,-0.015,-0.501,-0.031,-0.456,-0.692,6.098,11.469467318617806,
94,Kyle Finnegan,DET| WAS,RIGHT,RP,63.66666666666667,0,65,61,31,26,9,24,60,3,8,38,0,0,3.675,1.335,8,0,0.126,-1.511,-1.633,2.828,0.034,-0.43,-0.712,6.078,11.431850174247135,
95,Clay Holmes,NYN| PIT| NYA,RIGHT,RP,62.99999999999999,0,67,60,29,22,4,22,68,3,5,30,0,0,3.143,1.302,4,1,0.063,-1.511,-1.46,2.127,0.345,-0.324,-0.822,5.968,11.22495588020844,
96,Zack Littell,CIN| TBA| MIN| SFN| BOS,RIGHT,SP,156.33333333333334,29,29,164,68,63,22,31,141,8,10,0,0,0,3.627,1.247,6,3,0.038,-0.21,0.115,-0.501,0.153,-0.394,-0.838,5.952,11.194862164711903,
97,Brandon Pfaadt,ARI,RIGHT,SP,181.66666666666663,32,32,183,103,95,24,42,185,11,10,0,0,0,4.706,1.238,7,3,0.039,0.571,1.064,-0.501,-1.647,-0.381,-0.895,5.895,11.087653303255488,
98,Gerrit Cole,NYA,RIGHT,SP,95.0,17,17,78,38,36,11,29,99,8,5,0,0,0,3.410,1.126,15,2,0.158,-0.21,-0.791,-0.501,0.284,0.315,-0.904,5.886,11.070725588288687,
99,Hector Neris,ANA| ATL| HOU| PHI| CHN,RIGHT,RP,59.33333333333334,0,62,55,31,27,8,28,64,10,5,18,0,0,4.096,1.399,5,1,0.084,0.31,-1.546,1.076,-0.201,-0.583,-0.944,5.846,10.995491299547343,
100,Jake Irvin,WAS,RIGHT,SP,187.66666666666669,33,33,173,97,92,29,52,156,10,14,0,0,0,4.412,1.199,5,4,0.027,0.31,0.438,-0.501,-1.187,-0.036,-0.975,5.815,10.937184725772802,
101,Tyler Anderson,ANA| SFN| PIT| SEA| LAN,LEFT,SP,179.33333333333334,31,31,158,83,76,24,73,142,10,15,0,0,0,3.814,1.288,15,3,0.084,0.31,0.136,-0.501,-0.137,-0.805,-0.996,5.7940000000000005,10.897686724183597,
102,Taj Bradley,MIN| TBA,RIGHT,SP,138.0,25,25,122,68,63,22,47,154,8,11,0,0,0,4.109,1.225,6,0,0.043,-0.21,0.395,-0.501,-0.484,-0.197,-0.997,5.793,10.895805866965063,
103,Daniel Hudson,WAS| SDN| LAN,RIGHT,RP,62.99999999999999,0,65,46,25,21,10,19,63,6,2,10,0,0,3.000,1.032,2,2,0.032,-0.731,-1.568,0.375,0.429,0.496,-0.999,5.791,10.892044152527996,
104,Colin Rea,CHN| MIL,RIGHT,SP| RP,167.66666666666663,27,32,169,83,80,29,43,135,12,6,1,0,0,4.294,1.264,16,2,0.095,0.831,-0.015,-0.413,-0.877,-0.561,-1.035,5.755,10.824333292660787,
105,Mitch Keller,PIT,RIGHT,SP,178.00000000000003,31,31,182,90,84,23,50,166,11,12,0,0,0,4.247,1.303,33,1,0.185,0.571,0.654,-0.501,-0.853,-0.93,-1.06,5.73,10.777311862197449,
106,Jason Foley,DET,RIGHT,RP,60.0,0,69,51,28,21,5,20,46,3,6,28,0,0,3.150,1.183,9,0,0.15,-1.511,-1.934,1.952,0.325,0.034,-1.135,5.655,10.636247570807429,
107,Tim Herrin,CLE,LEFT,RP,65.66666666666666,0,75,39,17,14,2,25,68,5,1,0,0,0,1.919,0.975,6,2,0.091,-0.991,-1.46,-0.501,1.108,0.698,-1.147,5.643,10.613677284185025,
108,Derek Law,MIN| CIN| DET| WAS,RIGHT,RP,90.00000000000001,0,75,82,31,26,7,24,76,7,4,1,0,0,2.600,1.178,7,1,0.078,-0.47,-1.287,-0.413,0.948,0.075,-1.149,5.641,10.609915569747958,
109,Tyson Miller,CHN| TEX| LAN| MIL| NYN| SEA,RIGHT,RP,62.0,0,58,39,18,16,7,11,54,5,1,1,0,0,2.323,0.806,4,3,0.065,-0.991,-1.762,-0.413,0.813,1.161,-1.192,5.598,10.529038709351013,
110,Jeremiah Estrada,SDN| CHN,RIGHT,RP,60.99999999999999,0,62,42,22,20,4,23,94,6,3,1,0,0,2.951,1.066,2,0,0.033,-0.731,-0.899,-0.413,0.443,0.381,-1.219,5.571,10.478255564450606,
111,Kevin Ginkel,ARI,RIGHT,RP,70.00000000000001,0,72,69,31,25,6,15,77,8,3,5,0,0,3.214,1.200,6,1,0.086,-0.21,-1.266,-0.063,0.337,-0.017,-1.219,5.571,10.478255564450606,
112,Brayan Bello,BOS,RIGHT,SP,162.33333333333334,30,30,157,84,81,19,64,153,14,8,0,0,0,4.491,1.361,12,2,0.074,1.351,0.373,-0.501,-1.146,-1.302,-1.224,5.566,10.468851278357938,
113,JP Sears,ATH| SDN| NYA| OAK,LEFT,SP,180.66666666666666,32,32,172,93,88,28,49,137,11,13,0,0,0,4.384,1.223,23,4,0.127,0.571,0.028,-0.501,-1.095,-0.246,-1.244,5.546,10.431234133987267,
114,Blake Treinen,LAN,RIGHT,RP,46.666666666666664,0,50,33,11,10,5,11,56,7,3,1,0,0,1.929,0.943,8,1,0.171,-0.47,-1.719,-0.413,0.783,0.567,-1.252,5.538,10.416187276238999,
115,MacKenzie Gore,WAS| SDN,LEFT,SP,166.33333333333334,32,32,171,93,72,15,65,181,10,12,0,0,0,3.896,1.419,26,2,0.156,0.31,0.977,-0.501,-0.253,-1.795,-1.262,5.5280000000000005,10.397378704053663,
116,Justin Martinez,ARI,RIGHT,RP,72.66666666666666,0,64,59,26,20,2,36,91,5,6,8,0,0,2.477,1.307,2,1,0.028,-0.991,-0.964,0.2,0.848,-0.394,-1.3,5.49,10.325906129749386,
117,Tayler Scott,ARI| HOU| SDN| BOS| LAN| OAK,RIGHT,RP,68.66666666666669,1,62,45,21,17,7,35,71,7,3,0,0,0,2.228,1.165,16,4,0.233,-0.47,-1.395,-0.501,0.961,0.099,-1.307,5.4830000000000005,10.312740129219652,
