,Name,Team,L/R,POS,IP,GS,GP,HA,R,ER,HR,BB,K,W,L,S,HD,BS,ERA,WHIP,SB,CS,SBP,W-Z,K-Z,S-Z,ERA-Z,WHIP-Z,Z-SUM,Z-SUM-A,ACV,
1,Tarik Skubal,DET,LEFT,SP,192.0,31,31,142,54,51,15,35,228,18,4,0,0,0,2.391,0.922,3,3,0.016,2.393,1.991,-0.501,2.396,2.528,8.806,15.596,29.333849180249807,
2,Zack Wheeler,PHI,RIGHT,SP,200.0,32,32,139,62,57,20,52,224,16,7,0,0,0,2.565,0.955,8,3,0.04,1.872,1.905,-0.501,2.171,2.314,7.761,14.551,27.36835338688221,
3,Chris Sale,ATL| BOS,LEFT,SP,177.66666666666666,29,29,141,48,47,9,39,225,18,3,0,0,0,2.381,1.013,12,4,0.068,2.393,1.926,-0.501,2.233,1.558,7.609,14.399000000000001,27.082463089665104,
4,Logan Gilbert,SEA,RIGHT,SP,208.66666666666666,33,33,148,83,75,26,37,220,9,12,0,0,0,3.235,0.887,14,4,0.067,0.05,1.819,-0.501,0.965,3.102,5.435,12.225,22.993479496573087,
5,Emmanuel Clase,CLE,RIGHT,RP,74.33333333333334,0,74,39,10,5,2,10,66,4,2,47,0,0,0.605,0.659,1,0,0.013,-1.251,-1.503,3.617,2.162,1.92,4.945,11.735,22.07185945949163,
6,Seth Lugo,KCA| NYN| SDN,RIGHT,SP,206.66666666666669,33,33,177,75,69,16,48,181,16,9,0,0,0,3.005,1.089,5,5,0.024,1.872,0.977,-0.501,1.398,1.059,4.805,11.594999999999999,21.808539448896926,
7,Shota Imanaga,CHN,LEFT,SP,173.33333333333334,29,29,149,66,56,27,28,174,15,3,0,0,0,2.908,1.021,3,2,0.017,1.612,0.826,-0.501,1.329,1.453,4.719,11.509,21.64678572810304,
8,Paul Skenes,PIT,RIGHT,SP,133.0,23,23,94,31,29,10,32,170,11,3,0,0,0,1.962,0.947,6,1,0.045,0.571,0.74,-0.501,2.189,1.588,4.587,11.376999999999999,21.398512575256603,
9,Corbin Burnes,ARI| MIL| BAL,RIGHT,SP,194.33333333333331,32,32,165,76,63,22,48,181,15,9,0,0,0,2.918,1.096,41,6,0.211,1.612,0.977,-0.501,1.472,0.927,4.487,11.277000000000001,21.21042685340325,
10,Dylan Cease,SDN| CHA,RIGHT,SP,189.33333333333334,33,33,137,80,73,18,65,224,14,11,0,0,0,3.470,1.067,6,3,0.032,1.351,1.905,-0.501,0.461,1.169,4.386,11.176,21.020460274331356,
11,Bryce Miller,SEA,RIGHT,SP,180.33333333333331,31,31,131,62,59,21,45,171,12,8,0,0,0,2.945,0.976,10,7,0.055,0.831,0.762,-0.501,1.321,1.904,4.317,11.107,20.890681126252538,
12,Framber Valdez,HOU,LEFT,SP,176.33333333333334,28,28,140,60,57,13,55,169,15,7,0,0,0,2.909,1.106,9,1,0.051,1.612,0.718,-0.501,1.35,0.758,3.936,10.725999999999999,20.17407452599124,
13,Jack Flaherty,DET| SLN| BAL| LAN,RIGHT,SP,162.00000000000003,28,28,135,61,57,24,38,194,13,7,0,0,0,3.167,1.068,11,4,0.068,1.091,1.258,-0.501,0.852,0.993,3.692,10.482,19.715145364669045,
14,Ronel Blanco,HOU,RIGHT,SP,167.33333333333331,29,30,114,56,52,22,68,166,13,6,0,0,0,2.797,1.088,7,3,0.042,1.091,0.654,-0.501,1.456,0.866,3.566,10.356,19.478157355133817,
15,Ryan Helsley,NYN| SLN,RIGHT,RP,66.33333333333333,0,65,50,19,15,3,23,79,7,4,49,0,0,2.035,1.101,4,1,0.06,-0.47,-1.223,3.792,1.047,0.302,3.448,10.238,19.256216203346852,
16,Cole Ragans,KCA| TEX,LEFT,SP,186.33333333333334,32,32,146,71,65,15,67,223,11,9,0,0,0,3.139,1.143,8,3,0.043,0.571,1.883,-0.501,1.027,0.466,3.446,10.236,19.252454488909788,
17,Kirby Yates,LAN| SDN| ATL| TEX,RIGHT,RP,61.666666666666664,0,61,23,10,8,3,28,85,7,2,33,0,0,1.168,0.827,7,0,0.114,-0.47,-1.093,2.39,1.471,1.094,3.392,10.182,19.150888199108973,
18,George Kirby,SEA,RIGHT,SP,191.0,33,33,181,82,75,22,23,179,14,11,0,0,0,3.534,1.068,24,6,0.126,1.351,0.934,-0.501,0.352,1.169,3.305,10.095,18.98725362109655,
19,Mike King,SDN| NYA,RIGHT,SP,173.66666666666666,30,31,144,71,57,17,63,201,13,9,0,0,0,2.954,1.192,8,3,0.046,1.091,1.409,-0.501,1.257,0.026,3.282,10.072,18.943993905070275,
20,Raisel Iglesias,ATL| CIN| ANA,RIGHT,RP,69.33333333333331,0,66,38,19,15,4,13,68,6,2,34,0,0,1.947,0.736,2,0,0.029,-0.731,-1.46,2.478,1.151,1.536,2.974,9.764,18.364689881761933,
21,Hunter Greene,CIN,RIGHT,SP,150.33333333333334,26,26,96,47,46,12,57,169,9,5,0,0,0,2.754,1.018,14,3,0.093,0.05,0.718,-0.501,1.368,1.285,2.92,9.71,18.263123591961122,
22,Sean Manaea,NYN| OAK| SDN| SFN,LEFT,SP,181.66666666666663,32,32,134,75,70,21,63,184,12,6,0,0,0,3.468,1.084,23,3,0.127,0.831,1.042,-0.501,0.446,0.969,2.787,9.577,18.01296958189615,
23,Bailey Ober,MIN,RIGHT,SP,178.66666666666666,31,31,136,81,79,27,43,191,12,9,0,0,0,3.979,1.002,3,2,0.017,0.831,1.193,-0.501,-0.411,1.663,2.775,9.565,17.990399295273747,
