,Name,Team,L/R,POS,IP,GS,GP,HA,R,ER,HR,BB,K,W,L,S,HD,BS,ERA,WHIP,SB,CS,SBP,W-Z,K-Z,S-Z,ERA-Z,WHIP-Z,Z-SUM,Z-SUM-A,ACV,
1,Garrett Crochet,BOS,LEFT,SP,205.33333333333331,32,32,165,62,59,24,46,255,18,5,0,0,0,2.586,1.028,13,7,0.063,2.552,2.709,-0.506,1.913,1.659,8.327,13.584,32.97817316750219,
2,Tarik Skubal,DET,LEFT,SP,195.33333333333334,31,31,141,55,48,18,33,241,13,6,0,0,0,2.212,0.891,3,4,0.015,1.24,2.402,-0.506,2.39,2.789,8.315,13.572,32.949040505693446,
3,Paul Skenes,PIT,RIGHT,SP,187.66666666666666,32,32,136,45,41,11,42,216,10,10,0,0,0,1.966,0.949,4,2,0.021,0.453,1.853,-0.506,2.656,2.189,6.644,11.901,28.892317348825355,
4,Bryan Woo,SEA,RIGHT,SP,186.66666666666666,30,30,137,64,61,26,36,198,15,7,0,0,0,2.941,0.927,4,1,0.021,1.765,1.457,-0.506,1.223,2.361,6.299,11.556000000000001,28.054753321823863,
5,Carlos Rodon,NYA,LEFT,SP,195.33333333333331,33,33,132,74,67,22,73,203,18,9,0,0,0,3.087,1.050,17,3,0.087,2.552,1.567,-0.506,1.057,1.385,6.054,11.311,27.459961476561933,
6,Max Fried,NYA,LEFT,SP,195.33333333333334,32,32,164,73,62,14,51,189,19,5,0,0,0,2.857,1.101,6,5,0.031,2.814,1.259,-0.506,1.408,0.932,5.907,11.164,27.103086369404778,
7,Freddy Peralta,MIL,RIGHT,SP,176.66666666666669,33,33,124,54,53,21,66,204,17,6,0,0,0,2.700,1.075,12,1,0.068,2.29,1.589,-0.506,1.489,1.045,5.906,11.163,27.100658647587384,
8,Cristopher Sanchez,PHI,LEFT,SP,202.0,32,32,171,58,56,12,44,212,13,5,0,0,0,2.495,1.064,10,4,0.05,1.24,1.765,-0.506,2.025,1.296,5.82,11.077,26.891874571291357,
9,Hunter Brown,HOU,RIGHT,SP,185.33333333333331,31,31,133,55,50,17,57,206,12,9,0,0,0,2.428,1.025,20,8,0.108,0.978,1.633,-0.506,1.955,1.518,5.577,10.834,26.30193816966422,
10,Yoshinobu Yamamoto,LAN,RIGHT,SP,173.66666666666669,30,30,113,53,48,14,59,201,12,8,0,0,0,2.487,0.990,7,5,0.04,0.978,1.523,-0.506,1.752,1.696,5.442,10.699,25.97419572431581,
11,Nick Pivetta,SDN,RIGHT,SP,181.66666666666666,31,31,129,63,58,22,50,190,13,5,0,0,0,2.873,0.985,9,3,0.05,1.24,1.281,-0.506,1.286,1.816,5.117,10.373999999999999,25.185186133662228,
12,Jacob deGrom,TEX,RIGHT,SP,172.66666666666669,30,30,122,57,57,26,37,185,12,8,0,0,0,2.971,0.921,11,6,0.064,0.978,1.172,-0.506,1.09,2.23,4.964,10.221,24.8137446956007,
13,Zack Wheeler,PHI,RIGHT,SP,149.66666666666666,24,24,107,48,45,19,33,195,10,5,0,0,0,2.706,0.935,4,4,0.027,0.453,1.391,-0.506,1.255,1.835,4.427,9.684,23.51005807965925,
14,Nathan Eovaldi,TEX,RIGHT,SP,130.0,22,22,90,28,25,10,21,129,11,3,0,0,0,1.731,0.854,4,1,0.031,0.715,-0.059,-0.506,2.078,2.074,4.302,9.559,23.206592852484793,
15,Logan Webb,SFN,RIGHT,SP,207.00000000000003,34,34,210,82,74,14,46,224,15,11,0,0,0,3.217,1.237,9,7,0.043,1.765,2.028,-0.506,0.91,-0.288,3.908,9.165,22.25007045643092,
16,Joe Ryan,MIN,RIGHT,SP,170.99999999999997,30,31,138,69,65,26,39,194,13,10,0,0,0,3.421,1.035,21,11,0.123,1.24,1.369,-0.506,0.48,1.324,3.907,9.164,22.247642734613525,
17,Matt Boyd,CHN,LEFT,SP,179.66666666666669,31,31,154,69,64,19,42,154,14,8,0,0,0,3.206,1.091,5,3,0.028,1.502,0.491,-0.506,0.806,0.937,3.229,8.486,20.60164734241929,
18,Aroldis Chapman,BOS,LEFT,RP,61.33333333333334,0,67,28,9,8,3,15,85,5,3,32,0,0,1.174,0.701,4,0,0.065,-0.859,-1.025,2.411,1.247,1.403,3.176,8.433,20.47297808609732,
19,Edwin Diaz,NYN,RIGHT,RP,66.33333333333334,0,62,37,14,12,4,21,98,6,3,28,0,0,1.628,0.874,15,5,0.226,-0.597,-0.74,2.046,1.114,0.997,2.82,8.077,19.60870911910448,
20,Jesus Luzardo,PHI,LEFT,SP,183.66666666666666,32,32,167,85,80,16,57,216,15,7,0,0,0,3.920,1.220,22,11,0.12,1.765,1.853,-0.506,-0.199,-0.113,2.798,8.055,19.555299239121773,
21,Kevin Gausman,TOR,RIGHT,SP,193.0,32,32,155,79,77,21,50,189,10,11,0,0,0,3.591,1.062,17,3,0.088,0.453,1.259,-0.506,0.286,1.257,2.75,8.007,19.43876859188678,
22,Merrill Kelly,ARI| TEX,RIGHT,SP,184.0,32,32,157,79,72,23,48,167,12,9,0,0,0,3.522,1.114,14,2,0.076,0.978,0.776,-0.506,0.372,0.766,2.385,7.6419999999999995,18.55265012853738,
23,Drew Rasmussen,TBA,RIGHT,SP,150.0,31,31,116,47,46,18,37,127,10,5,0,0,0,2.760,1.020,19,7,0.127,0.453,-0.103,-0.506,1.194,1.264,2.302,7.558999999999999,18.35114921769354,
24,Trevor Rogers,BAL,LEFT,SP,109.66666666666666,18,18,70,23,22,6,29,103,9,3,0,0,0,1.806,0.903,3,1,0.027,0.19,-0.63,-0.506,1.689,1.507,2.25,7.507,18.22490768318897,
25,Jhoan Duran,MIN| PHI,RIGHT,RP,70.0,0,72,58,19,16,3,19,80,7,6,32,0,0,2.057,1.100,13,1,0.186,-0.334,-1.135,2.411,0.941,0.336,2.219,7.475999999999999,18.149648306849702,
26,Robert Suarez,SDN,RIGHT,RP,69.66666666666666,0,70,47,24,23,6,16,75,4,6,40,0,0,2.971,0.904,3,0,0.043,-1.121,-1.245,3.14,0.44,0.952,2.166,7.423,18.02097905052774,
27,Andres Munoz,SEA,RIGHT,RP,62.333333333333336,0,64,36,18,12,2,28,83,3,3,38,0,0,1.733,1.027,5,1,0.08,-1.384,-1.069,2.958,0.996,0.506,2.007,7.263999999999999,17.634971281561832,
28,Andrew Abbott,CIN,LEFT,SP,166.33333333333331,29,29,148,60,53,19,43,149,10,7,0,0,0,2.868,1.148,12,1,0.072,0.453,0.381,-0.506,1.184,0.435,1.946,7.202999999999999,17.486880250700697,
29,Chris Sale,ATL,LEFT,SP,125.66666666666667,20,21,102,38,36,11,32,165,7,5,0,0,0,2.578,1.066,23,8,0.183,-0.334,0.732,-0.506,1.179,0.795,1.865,7.122,17.290234783491652,
30,Gavin Williams,CLE,RIGHT,SP,167.66666666666669,31,31,130,62,57,23,83,173,12,5,0,0,0,3.060,1.270,7,6,0.042,0.978,0.908,-0.506,0.943,-0.489,1.833,7.09,17.212547685334993,
31,Framber Valdez,HOU,LEFT,SP,191.99999999999997,31,31,171,82,78,15,68,187,13,11,0,0,0,3.656,1.245,25,3,0.13,1.24,1.215,-0.506,0.187,-0.337,1.798,7.055,17.127577421726148,
